dataset_name,n_components,rmse_cv_global,mae_cv_global,q2_cv_global,r2_cv_global,fold_rmse_mean,fold_rmse_sd,fold_rmse_se,fold_mae_mean,fold_r2_mean,is_best_rmse,is_one_se_choice
primary_remove_constant_only,1,1.1465197196992079,0.9198251409785977,0.35052996620783006,0.35052996620783006,1.1449416347135826,0.06707423688238855,0.02999651064158887,0.9198224603790827,0.3499967762290502,False,False
primary_remove_constant_only,2,1.0259572382763453,0.7990161894111736,0.47993864910242423,0.47993864910242423,1.024706766282645,0.05664778875994134,0.025333661288455468,0.7990261745422029,0.47937981112409345,False,False
primary_remove_constant_only,3,0.9613104414631963,0.7505311517554987,0.5434131712888826,0.5434131712888826,0.9601945485463543,0.051887859268468346,0.023204956106247544,0.750542273114032,0.5428792246930909,False,False
primary_remove_constant_only,4,0.9355400973508486,0.7201703903453883,0.5675649649738548,0.5675649649738548,0.9341738166624525,0.056588658664645526,0.025307217505935974,0.7201821423574983,0.5669564867534713,False,False
primary_remove_constant_only,5,0.9131204978057879,0.7007924422272895,0.5880426611570965,0.5880426611570965,0.9124115713712915,0.04004996921474638,0.017910890732189353,0.7007970088377208,0.5872107459857385,False,False
primary_remove_constant_only,6,0.8926044622302728,0.6873606233835043,0.6063464545423394,0.6063464545423394,0.8920081648570667,0.036250298839523236,0.01621162648197114,0.687359806224382,0.6054943802883077,False,False
primary_remove_constant_only,7,0.9043975394355892,0.6818561254360341,0.5958758498702277,0.5958758498702277,0.9025774596488756,0.063871465506973,0.028564187739224936,0.6818555809591831,0.5953354591206341,False,False
primary_remove_constant_only,8,0.9041529932199921,0.680482311913383,0.5960943680903236,0.5960943680903236,0.9009984107449466,0.08405345657995383,0.03758984853132075,0.680475018157801,0.59582230696507,False,False
primary_remove_constant_only,9,0.9023560404249096,0.6729016756887981,0.597698251762933,0.597698251762933,0.8977631486051585,0.10126976993502328,0.0452892179280953,0.6728891882851327,0.597566843024768,False,False
primary_remove_constant_only,10,0.9126342895944911,0.666725975207373,0.5884812532495183,0.5884812532495183,0.905742313175071,0.12482763985593343,0.055824617637745835,0.6667172163355961,0.5885867466092479,False,False
primary_remove_constant_only,11,0.9120402309523306,0.662796694770435,0.5890168165212728,0.5890168165212728,0.904720077102008,0.12861096677374056,0.05751657287161014,0.6627911434152832,0.5892114720369002,False,False
primary_remove_constant_only,12,0.905903439327811,0.6598229511767622,0.5945289263133653,0.5945289263133653,0.9002182252094908,0.11295717288645796,0.05051598342406322,0.659819192256412,0.5946267919057938,False,False
primary_remove_constant_only,13,0.895997273375726,0.6540409911942929,0.6033481938297811,0.6033481938297811,0.8913130660019568,0.10197400139653846,0.0456041598120637,0.6540393620573753,0.6032853304412437,False,False
primary_remove_constant_only,14,0.8811290651374665,0.6476541461832742,0.6164030772714351,0.6164030772714351,0.878180712882967,0.08023802224345912,0.03588353442330295,0.6476544200354657,0.6160882108068846,False,False
primary_remove_constant_only,15,0.8752790955389934,0.6454090019759865,0.6214797026378152,0.6214797026378152,0.8728698046794777,0.07224508971731024,0.03230898632969535,0.6454076664996823,0.6211187989915563,False,False
primary_remove_constant_only,16,0.8699111001115594,0.6424630795146955,0.6261083166078725,0.6261083166078725,0.8678970360400451,0.06588740438807321,0.029465743014549923,0.642465545744616,0.6257615806542616,False,False
primary_remove_constant_only,17,0.868334897626953,0.6399220499160891,0.6274620068736368,0.6274620068736368,0.8664755635495686,0.0631762941665004,0.028253297664563665,0.6399195008303776,0.6270972534530993,False,False
primary_remove_constant_only,18,0.8630620508965401,0.6409372816526525,0.6319726436388762,0.6319726436388762,0.8616731441174019,0.05442721962235101,0.024340592580377456,0.6409360015338648,0.6315713578193991,False,False
primary_remove_constant_only,19,0.8602568235053178,0.6420742218979765,0.6343611685522734,0.6343611685522734,0.8590265152540111,0.05110921815380413,0.022856737213754464,0.642071550183676,0.6339686168673552,False,False
primary_remove_constant_only,20,0.8555413056106478,0.6410783646229719,0.6383586977759292,0.6383586977759292,0.8545066264410043,0.04669634325033938,0.020883239561684468,0.6410757248209699,0.6379079424042083,False,True
primary_remove_constant_only,21,0.8585573384129613,0.6415901538064321,0.6358044211331488,0.6358044211331488,0.8571790673260061,0.05404114408851468,0.024167934352755948,0.6415865674881414,0.6353972719539359,False,False
primary_remove_constant_only,22,0.8546696403651837,0.6389370810716756,0.6390952363085299,0.6390952363085299,0.8534443614007594,0.050751282410174056,0.02269666348288771,0.6389303284905782,0.6386051408604609,False,False
primary_remove_constant_only,23,0.8482542477835923,0.6388531752992047,0.6444930082989724,0.6444930082989724,0.8474326985884726,0.04131194859221184,0.018475265067032485,0.6388452647825583,0.6438539580399274,False,False
primary_remove_constant_only,24,0.8430581390053165,0.6381489061063553,0.6488350913296181,0.6488350913296181,0.8422971633412921,0.039681193596514557,0.01774596926202718,0.6381425128976367,0.648164150698218,False,False
primary_remove_constant_only,25,0.8408448176652986,0.6385542038733387,0.650676531406841,0.650676531406841,0.8401049850480309,0.039133999804895736,0.017501256759042075,0.6385483239370329,0.6500110282048533,False,False
primary_remove_constant_only,26,0.837942464399487,0.634918152306233,0.6530838967437262,0.6530838967437262,0.8373539319889021,0.0349232219423971,0.015618139651302432,0.6349155535726468,0.6523505451347036,False,False
primary_remove_constant_only,27,0.8375747957835425,0.6358641544614292,0.6533882665209083,0.6533882665209083,0.8369474384064606,0.03607229071909944,0.016132018830408223,0.6358625737209369,0.6527485635583274,False,False
primary_remove_constant_only,28,0.8384486161781812,0.6375802130992082,0.6526646669215217,0.6526646669215217,0.8376856204400376,0.03974442436077369,0.01777424691945772,0.637576790736744,0.6520541821455229,False,False
primary_remove_constant_only,29,0.8396737607354743,0.6398445465491216,0.6516488696928567,0.6516488696928567,0.8387981236837699,0.04261892537936685,0.01905976285525106,0.6398412086829363,0.6510335772283553,False,False
primary_remove_constant_only,30,0.8397684580132542,0.6389094659051048,0.651570292117946,0.651570292117946,0.838923462926995,0.04190537943888595,0.018740655409654194,0.6389071012489115,0.6510028053691297,False,False
primary_remove_constant_only,31,0.8406088493384599,0.6386192003110905,0.6508725668857165,0.6508725668857165,0.8396512040436628,0.044590405006886664,0.01994143534792911,0.6386152571907683,0.6503496844414816,False,False
primary_remove_constant_only,32,0.8456013438455555,0.6406325452223427,0.6467132178501978,0.6467132178501978,0.8443922434686224,0.05028624453075867,0.02248869222079068,0.6406292729678416,0.646220950601017,False,False
primary_remove_constant_only,33,0.8494043404763518,0.6420781226229252,0.6435283372187248,0.6435283372187248,0.8480693027504383,0.05294105791516856,0.02367596085981404,0.6420758837304981,0.6430282364675598,False,False
primary_remove_constant_only,34,0.8476651927765072,0.640345811700379,0.644986587818188,0.644986587818188,0.8461862176891393,0.05564090434826055,0.024883368890454845,0.6403422463419418,0.6445372933067565,False,False
primary_remove_constant_only,35,0.84609191025056,0.6395981670382788,0.6463031879938066,0.6463031879938066,0.8446772702736306,0.054317236140830914,0.024291406472161253,0.6395938007176166,0.6457980173882584,False,False
primary_remove_constant_only,36,0.847121486064034,0.6417900673110911,0.6454418649080342,0.6454418649080342,0.8458416045957069,0.05164049993382233,0.023094333648820024,0.6417850001254033,0.6449024818468703,False,False
primary_remove_constant_only,37,0.8447119912430053,0.6419891491506703,0.6474559586108228,0.6474559586108228,0.8434849622154947,0.05048660414537735,0.022578295764437286,0.6419841733658107,0.6469110253526391,False,False
primary_remove_constant_only,38,0.8410552041630877,0.6403316649850547,0.6505017021544346,0.6505017021544346,0.839848520296016,0.0499469118918129,0.022336938051257253,0.6403262258632485,0.6499480090774098,False,False
primary_remove_constant_only,39,0.8402667447430383,0.6412230535367406,0.6511566795151411,0.6511566795151411,0.8391013005174633,0.04904962995814306,0.02193566137152361,0.6412163630203481,0.6505552420607862,False,False
primary_remove_constant_only,40,0.8397898894269891,0.6410164723761833,0.6515525076049854,0.6515525076049854,0.8387016306123064,0.0473810005142681,0.021189427598371193,0.6410110855415743,0.6509437104396001,False,False
primary_remove_constant_only,41,0.8390154551476172,0.6411330118059433,0.6521948712761498,0.6521948712761498,0.838004400195256,0.045618172251205055,0.020401066832597823,0.6411268758064892,0.651580515741451,False,False
primary_remove_constant_only,42,0.8387864925419156,0.6402863976683157,0.6523846735072637,0.6523846735072637,0.8377644869761511,0.045887668132326205,0.02052158905456644,0.6402812132341598,0.6517496817475015,False,False
primary_remove_constant_only,43,0.8377990932384518,0.639344725360181,0.6532026006203682,0.6532026006203682,0.8367168568519199,0.04719492525311974,0.021106212211799442,0.6393385119072668,0.6526357621739689,True,False
primary_remove_constant_only,44,0.8390951040180901,0.6404236528664998,0.6521288329203955,0.6521288329203955,0.8380450249954456,0.046509763195497746,0.020799798424510157,0.6404179265665959,0.6515628670181953,False,False
primary_remove_constant_only,45,0.8379928965113769,0.6400919297756114,0.6530421367447418,0.6530421367447418,0.836892767059056,0.04755580983996374,0.021267604705442464,0.6400849889459634,0.6524718265808824,False,False
primary_remove_constant_only,46,0.8392758776027391,0.6403471440180226,0.6519789269285738,0.6519789269285738,0.8380221680472552,0.0508399182342086,0.0227363026284443,0.6403395715928253,0.6514266597526945,False,False
primary_remove_constant_only,47,0.8429703596838778,0.6417296118946988,0.648908214193197,0.648908214193197,0.8416055827222024,0.053167080154532254,0.023777041078142828,0.6417224628533013,0.648377444518512,False,False
primary_remove_constant_only,48,0.8471263096005572,0.6433555878376088,0.6454378271660777,0.6454378271660777,0.845329660147609,0.06122052871444992,0.027378652764797565,0.643346739360757,0.6449932514627771,False,False
primary_remove_constant_only,49,0.8495187809049326,0.643340619141302,0.6434322757411328,0.6434322757411328,0.8475754471257593,0.06379291170000899,0.028529057408772353,0.6433320016136754,0.6430350988340874,False,False
primary_remove_constant_only,50,0.8553076086545627,0.6436765124479579,0.6385562403799331,0.6385562403799331,0.8528560408896346,0.07195116342965965,0.032177538497783174,0.6436673418412016,0.638228620343442,False,False
sensitivity_remove_constant_nonbinary_near_constant,1,1.1863861514176484,0.9510118961110338,0.3045783657990574,0.3045783657990574,1.1838011668339365,0.08725418329462743,0.0390212570336027,0.9510053139248841,0.304244887841548,False,False
sensitivity_remove_constant_nonbinary_near_constant,2,1.0033342753497374,0.7888228663988185,0.5026211001922871,0.5026211001922871,1.0027633340820248,0.038281664629293936,0.017120080880590104,0.7888391249038146,0.5017239664190567,False,False
sensitivity_remove_constant_nonbinary_near_constant,3,0.9470875687757988,0.7490440274477836,0.5568238987831253,0.5568238987831253,0.946206641956022,0.045968625376513354,0.020557794234821142,0.7490564301241618,0.5561314597434471,False,False
sensitivity_remove_constant_nonbinary_near_constant,4,0.926244151312194,0.7176938271247746,0.5761160063101198,0.5761160063101198,0.9250370115137603,0.05314716907942607,0.023768136574654323,0.7177114249304255,0.5753638472185917,False,False
sensitivity_remove_constant_nonbinary_near_constant,5,0.9144805631426609,0.704889811774138,0.5868145512529761,0.5868145512529761,0.9137500152554147,0.04096851726339596,0.018321677907665403,0.7049014867105013,0.5859429567748726,False,False
sensitivity_remove_constant_nonbinary_near_constant,6,0.8931259622710744,0.6884682769304914,0.6058863396343945,0.6058863396343945,0.8926208274366074,0.033548848636574806,0.01500350122364648,0.6884737453989893,0.6049954567499034,False,False
sensitivity_remove_constant_nonbinary_near_constant,7,0.8943316559614639,0.6759432941796055,0.6048215377734864,0.6048215377734864,0.893314437282335,0.04754258855219885,0.021261691965803988,0.675949520597275,0.6041078792167863,False,False
sensitivity_remove_constant_nonbinary_near_constant,8,0.8897256490770568,0.6750915503844922,0.6088815696458312,0.6088815696458312,0.8883872805024879,0.054317842041933316,0.024291677439371773,0.6750904609132997,0.6082292366661417,False,False
sensitivity_remove_constant_nonbinary_near_constant,9,0.8893888719643203,0.6702287193282548,0.6091776042868653,0.6091776042868653,0.8868487771235678,0.07469840850289867,0.03340614384470594,0.6702198452530872,0.6087364944403847,False,False
sensitivity_remove_constant_nonbinary_near_constant,10,0.8848833201111015,0.6649603202577806,0.6131273059994531,0.6131273059994531,0.8827451545839935,0.0683959574082449,0.030587602030203186,0.6649569580849101,0.6125582896228048,False,False
sensitivity_remove_constant_nonbinary_near_constant,11,0.8964969300574397,0.6636699050078873,0.6029056813538435,0.6029056813538435,0.8937741730897649,0.07769099218657402,0.034744467953716905,0.6636671022702136,0.6025432871126853,False,False
sensitivity_remove_constant_nonbinary_near_constant,12,0.8876227612644133,0.660451624220483,0.6107282202575937,0.6107282202575937,0.8855502236228248,0.0674663431814886,0.030171865909427588,0.6604515519934367,0.6102611224471316,False,False
sensitivity_remove_constant_nonbinary_near_constant,13,0.8854253853717776,0.6562329253153028,0.6126531768673671,0.6126531768673671,0.8831942239625785,0.06992505487397076,0.031271435205720316,0.6562330757885709,0.6122317685083394,False,False
sensitivity_remove_constant_nonbinary_near_constant,14,0.8822348452796507,0.655924504622374,0.6154396769325279,0.6154396769325279,0.8801085959254058,0.06813358439225631,0.03047026525036076,0.6559225065159843,0.6149932208702351,False,False
sensitivity_remove_constant_nonbinary_near_constant,15,0.8948784600084845,0.6539765350040276,0.6043381572749682,0.6043381572749682,0.89077585904861,0.09536747018191058,0.042649629233787255,0.6539741381790286,0.6041872365760257,False,False
sensitivity_remove_constant_nonbinary_near_constant,16,0.8840394551740425,0.6503931958330863,0.6138648329177573,0.6138648329177573,0.8812486234598467,0.07818627164748566,0.034965963662208485,0.650394367825028,0.6135610640712295,False,False
sensitivity_remove_constant_nonbinary_near_constant,17,0.8823864550813281,0.6502087798020634,0.6153074941600025,0.6153074941600025,0.8797826514236249,0.07542377991798621,0.033730539803320136,0.6502079755713019,0.6150435890992876,False,False
sensitivity_remove_constant_nonbinary_near_constant,18,0.8846651173876324,0.6505534952293166,0.613318079778155,0.613318079778155,0.8817989217486295,0.07926342538331024,0.0354476814573128,0.650553438948001,0.6131195144069228,False,False
sensitivity_remove_constant_nonbinary_near_constant,19,0.8781023383546278,0.6503106778184053,0.6190339040192732,0.6190339040192732,0.8757229903929893,0.07195057315937721,0.032177274520887846,0.6503106227394324,0.6186845285912966,False,False
sensitivity_remove_constant_nonbinary_near_constant,20,0.8717317227341753,0.6502427466548605,0.6245416554021437,0.6245416554021437,0.8701246909537655,0.05885611003424212,0.02632125258555457,0.650240001053995,0.6240953244618755,False,False
sensitivity_remove_constant_nonbinary_near_constant,21,0.8650837662897352,0.6511747896367782,0.6302464223734896,0.6302464223734896,0.8637872387400394,0.052576811161686235,0.02351306475954002,0.6511686016431233,0.6297180236476765,False,False
sensitivity_remove_constant_nonbinary_near_constant,22,0.8605086064013237,0.6490564806420412,0.6341471043941986,0.6341471043941986,0.8593771342650628,0.04899181241806616,0.021909804581542854,0.6490507551295274,0.6335762400100214,False,False
sensitivity_remove_constant_nonbinary_near_constant,23,0.8590843364010998,0.6506023803885546,0.6353571842768219,0.6353571842768219,0.8581037134754614,0.04553583810357802,0.020364245882405114,0.6505974657588738,0.6347706292403956,False,True
sensitivity_remove_constant_nonbinary_near_constant,24,0.8542777725873808,0.6514084392741416,0.6394261115819595,0.6394261115819595,0.853510869436632,0.040124155125794335,0.01794406768020455,0.6514046424424903,0.6387649616528379,False,False
sensitivity_remove_constant_nonbinary_near_constant,25,0.8524703016079627,0.650456710634193,0.6409502935333287,0.6409502935333287,0.8517789835546156,0.038034229491861686,0.017009424523126003,0.6504541727537213,0.6402203566223742,False,False
sensitivity_remove_constant_nonbinary_near_constant,26,0.8499543487864502,0.65061318033731,0.6430665410048708,0.6430665410048708,0.8492821074869893,0.03752478533649414,0.016781594170697644,0.65061070801272,0.6423320627698568,False,False
sensitivity_remove_constant_nonbinary_near_constant,27,0.8513768552005655,0.6530826243505365,0.6418707943878481,0.6418707943878481,0.8506875471801164,0.03809642268936083,0.017037238166595234,0.6530836001859134,0.6410904731486515,False,False
sensitivity_remove_constant_nonbinary_near_constant,28,0.8496364210553509,0.6519037783845829,0.6433335149226145,0.6433335149226145,0.8489050120929942,0.039192893164252625,0.01752759467003114,0.6519044809429422,0.6426499826523001,False,False
sensitivity_remove_constant_nonbinary_near_constant,29,0.8483983587870605,0.6505069916585953,0.6443722029592457,0.6443722029592457,0.8477222763901763,0.03768593244250113,0.016853661347379444,0.6505095619476337,0.6436728402174425,False,False
sensitivity_remove_constant_nonbinary_near_constant,30,0.8471991354272717,0.65052698579453,0.6453768624835532,0.6453768624835532,0.8464671706668565,0.03916967664216111,0.01751721192571159,0.650529311359143,0.6446402571218601,False,False
sensitivity_remove_constant_nonbinary_near_constant,31,0.8470847354387856,0.6501671663536056,0.6454726277932188,0.6454726277932188,0.8462988710659033,0.04054993329812245,0.018134481467536805,0.6501675926669932,0.6447610859474329,False,False
sensitivity_remove_constant_nonbinary_near_constant,32,0.8495691581315055,0.6495077493298385,0.6433899849147375,0.6433899849147375,0.8487254591360888,0.04205561345258274,0.018807842103085927,0.6495070192445866,0.6426775002039556,False,False
