model_name,feature_set_name,fold,rmse,mae,r2
linear_PLS_from_03,primary_full_constant_removed,1,0.8872189189482476,0.6699835791795612,0.611478802501928
linear_PLS_from_03,primary_full_constant_removed,2,0.920318520701029,0.652251686777829,0.5898621835086595
linear_PLS_from_03,primary_full_constant_removed,3,0.8141976355196551,0.6245745896442139,0.6795209802208424
linear_PLS_from_03,primary_full_constant_removed,4,0.8245115822224434,0.6227040128341029,0.6478732350040612
linear_PLS_from_03,primary_full_constant_removed,5,0.8262864748136458,0.6358647556691428,0.6608045107855506
ridge_on_PLS_scores,PLS_scores_foldwise,1,0.8862643708781038,0.6697870169469424,0.6123143632599705
ridge_on_PLS_scores,PLS_scores_foldwise,2,0.9185210384647875,0.6520740721633611,0.59146270657104
ridge_on_PLS_scores,PLS_scores_foldwise,3,0.8140209779703333,0.6251504506253689,0.6796600346564078
ridge_on_PLS_scores,PLS_scores_foldwise,4,0.8233511393856454,0.6217657884583075,0.6488637254632439
ridge_on_PLS_scores,PLS_scores_foldwise,5,0.8260197136812294,0.6357531700668755,0.6610234894798948
tuned_spline_ridge_on_PLS_scores,PLS_scores_foldwise_top8_spline_tuned,1,0.9205962810199186,0.7156242417305948,0.5816964380424017
tuned_spline_ridge_on_PLS_scores,PLS_scores_foldwise_top8_spline_tuned,2,0.8443443771630007,0.661336000372879,0.6547825643311245
tuned_spline_ridge_on_PLS_scores,PLS_scores_foldwise_top8_spline_tuned,3,0.8138432213814226,0.6214274543361433,0.679799923735048
tuned_spline_ridge_on_PLS_scores,PLS_scores_foldwise_top8_spline_tuned,4,0.8482449331676476,0.6473391288183875,0.6273097221603814
tuned_spline_ridge_on_PLS_scores,PLS_scores_foldwise_top8_spline_tuned,5,0.8530021237177409,0.666724594611283,0.638516061844145
rbf_svr_on_PLS_scores,PLS_scores_foldwise,1,0.8244419141498442,0.5995978234156051,0.6645148846310619
rbf_svr_on_PLS_scores,PLS_scores_foldwise,2,0.7538171558759135,0.5516629750757314,0.7248398576560253
rbf_svr_on_PLS_scores,PLS_scores_foldwise,3,0.6932204645342466,0.5102096922914299,0.7676820964164681
rbf_svr_on_PLS_scores,PLS_scores_foldwise,4,0.7584232975439528,0.5725765817012325,0.7020599775621559
rbf_svr_on_PLS_scores,PLS_scores_foldwise,5,0.770007595137826,0.5606065196439318,0.7054365904877355
kernel_ridge_rbf_on_PLS_scores,PLS_scores_foldwise,1,1.3429324565855625,0.885506679468717,0.10985353634325912
kernel_ridge_rbf_on_PLS_scores,PLS_scores_foldwise,2,1.2328598429930586,0.7859403210630065,0.263994762570245
kernel_ridge_rbf_on_PLS_scores,PLS_scores_foldwise,3,0.9880858777085818,0.7383672965696458,0.5280137854276417
kernel_ridge_rbf_on_PLS_scores,PLS_scores_foldwise,4,1.0422708127805644,0.7706254946770283,0.43731327702570444
kernel_ridge_rbf_on_PLS_scores,PLS_scores_foldwise,5,1.0840957202427501,0.761128614904822,0.4161194075508482
random_forest_on_PLS_scores,PLS_scores_foldwise,1,0.7995219074004005,0.6094780665184893,0.6844894636956202
random_forest_on_PLS_scores,PLS_scores_foldwise,2,0.7708307795447737,0.5790801800769433,0.7122789829575269
random_forest_on_PLS_scores,PLS_scores_foldwise,3,0.7290224249511765,0.5669752495796848,0.7430659249023976
random_forest_on_PLS_scores,PLS_scores_foldwise,4,0.7455213068042089,0.5774917781526085,0.7121106259802843
random_forest_on_PLS_scores,PLS_scores_foldwise,5,0.7599592699281595,0.590610519405157,0.7130743237617063
hist_gradient_boosting_on_PLS_scores,PLS_scores_foldwise,1,0.7938868906549547,0.5859403964233617,0.688921216745565
hist_gradient_boosting_on_PLS_scores,PLS_scores_foldwise,2,0.7507893828891515,0.5372999448697005,0.7270458283870109
hist_gradient_boosting_on_PLS_scores,PLS_scores_foldwise,3,0.7046790397213067,0.5304239377502575,0.7599384324330618
hist_gradient_boosting_on_PLS_scores,PLS_scores_foldwise,4,0.7657163587154359,0.5701205915751014,0.6963023955251496
hist_gradient_boosting_on_PLS_scores,PLS_scores_foldwise,5,0.7427958290210329,0.5498777354886013,0.7258882243244178
quadratic_ridge_on_PLS_scores,PLS_scores_foldwise_top8_quadratic,1,0.9149635078388704,0.7035287640144199,0.5867996537884503
quadratic_ridge_on_PLS_scores,PLS_scores_foldwise_top8_quadratic,2,1.355740800078587,0.6996553488658475,0.10996553727843339
quadratic_ridge_on_PLS_scores,PLS_scores_foldwise_top8_quadratic,3,0.7944630751962665,0.6076318318720392,0.6948682751781265
quadratic_ridge_on_PLS_scores,PLS_scores_foldwise_top8_quadratic,4,0.8728667692158019,0.6423910717659563,0.6053596977257105
quadratic_ridge_on_PLS_scores,PLS_scores_foldwise_top8_quadratic,5,0.8257051520838679,0.63458107524035,0.6612816157396766
ridge_on_PCA_scores,PCA_scores_foldwise,1,1.0164504654360451,0.8004649613909829,0.49005238069872836
ridge_on_PCA_scores,PCA_scores_foldwise,2,1.045039922033188,0.8082214512626275,0.47116614035272
ridge_on_PCA_scores,PCA_scores_foldwise,3,0.9390212102521425,0.754844700625455,0.5737241450849231
ridge_on_PCA_scores,PCA_scores_foldwise,4,0.9512872699281318,0.7337212495896199,0.5312633783623992
ridge_on_PCA_scores,PCA_scores_foldwise,5,1.0085109754285684,0.7967852111098165,0.4946991393007749
spline_ridge_on_PCA_scores,PCA_scores_foldwise_top8_spline,1,1.0751835134962653,0.8418441414998515,0.4294176631552523
spline_ridge_on_PCA_scores,PCA_scores_foldwise_top8_spline,2,1.0289264658090223,0.8179661946591917,0.48734857673070087
spline_ridge_on_PCA_scores,PCA_scores_foldwise_top8_spline,3,0.998794952044825,0.8134695715726947,0.5177273789313239
spline_ridge_on_PCA_scores,PCA_scores_foldwise_top8_spline,4,0.9841722399525447,0.7770811329816654,0.49829579933075374
spline_ridge_on_PCA_scores,PCA_scores_foldwise_top8_spline,5,1.0861173551492256,0.8746143305085333,0.4139397218075478
random_forest_on_PCA_scores,PCA_scores_foldwise,1,0.8392425663718949,0.6331485702135062,0.652361284321852
random_forest_on_PCA_scores,PCA_scores_foldwise,2,0.7873457039735949,0.5963835342348013,0.6998181599509643
random_forest_on_PCA_scores,PCA_scores_foldwise,3,0.7653447673111873,0.6042686578902435,0.7168254855727738
random_forest_on_PCA_scores,PCA_scores_foldwise,4,0.7552100543948796,0.5976157076680316,0.7045792190176096
random_forest_on_PCA_scores,PCA_scores_foldwise,5,0.8193893914872648,0.6271148501768159,0.6664434648053625
hist_gradient_boosting_on_PCA_scores,PCA_scores_foldwise,1,0.834565210590107,0.6069823929666467,0.6562254800629161
hist_gradient_boosting_on_PCA_scores,PCA_scores_foldwise,2,0.7620751271494566,0.5551347150844403,0.7187781470192205
hist_gradient_boosting_on_PCA_scores,PCA_scores_foldwise,3,0.7400499661137925,0.5759081911654933,0.7352341208262022
hist_gradient_boosting_on_PCA_scores,PCA_scores_foldwise,4,0.7474470448293293,0.5767273175166466,0.7106214249675472
hist_gradient_boosting_on_PCA_scores,PCA_scores_foldwise,5,0.7900803330886818,0.5941566729945978,0.6898789234904561
random_forest_primary_descriptors,primary_full_constant_removed,1,0.7525591462210872,0.557426351324728,0.7204661493313753
random_forest_primary_descriptors,primary_full_constant_removed,2,0.6949985420983226,0.5124236895395536,0.7661048167509679
random_forest_primary_descriptors,primary_full_constant_removed,3,0.679905957012918,0.5167489880997682,0.7765205352588709
random_forest_primary_descriptors,primary_full_constant_removed,4,0.6708804821282734,0.5113717822679429,0.7668712528585
random_forest_primary_descriptors,primary_full_constant_removed,5,0.7384515304267021,0.5553185684558866,0.7290851757455051
hist_gradient_boosting_primary_descriptors,primary_full_constant_removed,1,0.7418878083702436,0.5256349976272695,0.728337558794768
hist_gradient_boosting_primary_descriptors,primary_full_constant_removed,2,0.7059028339120298,0.49233173474810926,0.7587077673655391
hist_gradient_boosting_primary_descriptors,primary_full_constant_removed,3,0.6416789553467197,0.48083158953401556,0.8009438854957343
hist_gradient_boosting_primary_descriptors,primary_full_constant_removed,4,0.6516434686040634,0.4782091857347299,0.780049168148994
hist_gradient_boosting_primary_descriptors,primary_full_constant_removed,5,0.6972275154160399,0.5049238208958596,0.7584884997466939
random_forest_block_X_plus_Y,block_X_plus_block_Y,1,0.7451636585001284,0.5505783214356942,0.7259331785290759
random_forest_block_X_plus_Y,block_X_plus_block_Y,2,0.7016591521622275,0.5144662613606146,0.7616002038264577
random_forest_block_X_plus_Y,block_X_plus_block_Y,3,0.6778122810460164,0.5166877834006686,0.7778947640708134
random_forest_block_X_plus_Y,block_X_plus_block_Y,4,0.6779955355507197,0.5148841785439829,0.7619001160664907
random_forest_block_X_plus_Y,block_X_plus_block_Y,5,0.7303846827558799,0.552086632142313,0.7349717958246611
hist_gradient_boosting_block_X_plus_Y,block_X_plus_block_Y,1,0.7406750184073306,0.5321552659550117,0.7292250250144146
hist_gradient_boosting_block_X_plus_Y,block_X_plus_block_Y,2,0.7120782863413503,0.4987561129417585,0.7544675050897088
hist_gradient_boosting_block_X_plus_Y,block_X_plus_block_Y,3,0.6466510928788046,0.4837825485559287,0.7978471065970911
hist_gradient_boosting_block_X_plus_Y,block_X_plus_block_Y,4,0.6623252203868164,0.4795974311576324,0.772779191538163
hist_gradient_boosting_block_X_plus_Y,block_X_plus_block_Y,5,0.6990051265503177,0.5011323584571291,0.7572554422469975
