dataset_name,component,component_index,explained_variance,explained_variance_ratio,cumulative_explained_variance_ratio
superblock_block_Y_topological_connectivity_structure,PC1,1,37.304148096433885,0.28903294846282296,0.28903294846282296
superblock_block_Y_topological_connectivity_structure,PC2,2,15.375607489277806,0.11913037540878356,0.40816332387160653
superblock_block_Y_topological_connectivity_structure,PC3,3,9.798852800833028,0.07592161893783353,0.48408494280944003
superblock_block_Y_topological_connectivity_structure,PC4,4,7.8980011277805415,0.06119379933362786,0.5452787421430679
superblock_block_Y_topological_connectivity_structure,PC5,5,5.219419451605169,0.04044011913800724,0.5857188612810752
superblock_block_Y_topological_connectivity_structure,PC6,6,4.674314226009054,0.03621663787342373,0.621935499154499
superblock_block_Y_topological_connectivity_structure,PC7,7,4.387818943671335,0.03399686928466789,0.6559323684391669
superblock_block_Y_topological_connectivity_structure,PC8,8,3.5093267657470233,0.027190302258110765,0.6831226706972777
superblock_block_Y_topological_connectivity_structure,PC9,9,3.0888445821995507,0.02393240168971714,0.7070550723869948
superblock_block_Y_topological_connectivity_structure,PC10,10,2.969162269312185,0.02300510181724016,0.730060174204235
superblock_block_Y_topological_connectivity_structure,PC11,11,2.8105769407034287,0.021776380952411828,0.7518365551566468
superblock_block_Y_topological_connectivity_structure,PC12,12,2.567185893192836,0.019890584447701764,0.7717271396043486
superblock_block_Y_topological_connectivity_structure,PC13,13,2.2004756572704074,0.01704930951907555,0.7887764491234242
superblock_block_Y_topological_connectivity_structure,PC14,14,2.061904094677636,0.01597565553277481,0.804752104656199
superblock_block_Y_topological_connectivity_structure,PC15,15,1.620028212361867,0.012551996351758764,0.8173041010079577
superblock_block_Y_topological_connectivity_structure,PC16,16,1.5890493635431258,0.012311971891451607,0.8296160728994093
superblock_block_Y_topological_connectivity_structure,PC17,17,1.4447146420231813,0.01119366488659447,0.8408097377860038
superblock_block_Y_topological_connectivity_structure,PC18,18,1.370895232535155,0.01062171129250748,0.8514314490785112
superblock_block_Y_topological_connectivity_structure,PC19,19,1.2404504107966572,0.009611023383449194,0.8610424724619604
superblock_block_Y_topological_connectivity_structure,PC20,20,1.101530678860675,0.008534671777259846,0.8695771442392203
superblock_block_Y_topological_connectivity_structure,PC21,21,1.0951394582078395,0.008485152529566796,0.8780622967687871
superblock_block_Y_topological_connectivity_structure,PC22,22,1.032751360844179,0.008001768867155047,0.8860640656359422
superblock_block_Y_topological_connectivity_structure,PC23,23,1.0103091232810255,0.007827886164453643,0.8938919518003958
superblock_block_Y_topological_connectivity_structure,PC24,24,0.9886383922547494,0.007659981102858948,0.9015519329032547
superblock_block_Y_topological_connectivity_structure,PC25,25,0.9798685592052315,0.0075920323402367245,0.9091439652434915
superblock_block_Y_topological_connectivity_structure,PC26,26,0.964115420197388,0.007469976846482747,0.9166139420899743
superblock_block_Y_topological_connectivity_structure,PC27,27,0.8926818235199454,0.006916508556210785,0.923530450646185
superblock_block_Y_topological_connectivity_structure,PC28,28,0.7806611743378883,0.0060485713381268616,0.9295790219843119
superblock_block_Y_topological_connectivity_structure,PC29,29,0.7342458515904754,0.005688944908571143,0.935267966892883
superblock_block_Y_topological_connectivity_structure,PC30,30,0.7096616262770364,0.0054984660612952575,0.9407664329541783
superblock_block_Y_topological_connectivity_structure,PC31,31,0.659862172100731,0.005112619344324048,0.9458790522985023
superblock_block_Y_topological_connectivity_structure,PC32,32,0.5892232841866105,0.004565308466263684,0.950444360764766
superblock_block_Y_topological_connectivity_structure,PC33,33,0.5472877172231722,0.004240391233639319,0.9546847519984053
superblock_block_Y_topological_connectivity_structure,PC34,34,0.5125715493535753,0.003971409984349267,0.9586561619827546
superblock_block_Y_topological_connectivity_structure,PC35,35,0.43936426266315104,0.003404199124409559,0.9620603611071642
superblock_block_Y_topological_connectivity_structure,PC36,36,0.40566864066266034,0.003143125075702852,0.965203486182867
superblock_block_Y_topological_connectivity_structure,PC37,37,0.36326614976398164,0.0028145901113087795,0.9680180762941758
superblock_block_Y_topological_connectivity_structure,PC38,38,0.34278036587069927,0.002655866033092565,0.9706739423272683
superblock_block_Y_topological_connectivity_structure,PC39,39,0.32540150830827225,0.0025212144541529057,0.9731951567814212
superblock_block_Y_topological_connectivity_structure,PC40,40,0.31097129823480046,0.002409409028287352,0.9756045658097086
superblock_block_Y_topological_connectivity_structure,PC41,41,0.26853369236253793,0.0020806019926929427,0.9776851678024014
superblock_block_Y_topological_connectivity_structure,PC42,42,0.24413887796919143,0.0018915907033026807,0.9795767585057041
superblock_block_Y_topological_connectivity_structure,PC43,43,0.22963460097519225,0.0017792114061247932,0.9813559699118289
superblock_block_Y_topological_connectivity_structure,PC44,44,0.20045945566798334,0.0015531620604012273,0.9829091319722302
superblock_block_Y_topological_connectivity_structure,PC45,45,0.19257784352746016,0.0014920952431205622,0.9844012272153507
superblock_block_Y_topological_connectivity_structure,PC46,46,0.18546783684441062,0.001437006833384471,0.9858382340487352
superblock_block_Y_topological_connectivity_structure,PC47,47,0.16740079664465468,0.0012970232078253871,0.9871352572565606
superblock_block_Y_topological_connectivity_structure,PC48,48,0.15715742259107526,0.0012176574333474365,0.988352914689908
superblock_block_Y_topological_connectivity_structure,PC49,49,0.1469544210217598,0.0011386044653202167,0.9894915191552283
superblock_block_Y_topological_connectivity_structure,PC50,50,0.12980928244523804,0.0010057637436459027,0.9904972828988742
