dataset_name,n_components,rmse_cv_global,mae_cv_global,q2_cv_global,r2_cv_global,fold_rmse_mean,fold_rmse_sd,fold_rmse_se,fold_mae_mean,fold_r2_mean,is_best_rmse,is_one_se_choice
primary_without_pca_flagged_outliers,1,1.1325554185636135,0.9151618551626759,0.3619291248653581,0.3619291248653581,1.1318106529045242,0.045321804923357925,0.020268527334322592,0.9151442372163066,0.35915810065201614,False,False
primary_without_pca_flagged_outliers,2,0.9722987190445556,0.7653935062848796,0.5297276722207475,0.5297276722207475,0.9713138274874238,0.04917715782660343,0.021992693568104217,0.7654085585560277,0.5272665762094689,False,False
primary_without_pca_flagged_outliers,3,0.9116576192730714,0.7135540359648855,0.5865590126738716,0.5865590126738716,0.9110490894942715,0.03714224188675985,0.016610515539107015,0.7135549900367473,0.5846454159820692,False,False
primary_without_pca_flagged_outliers,4,0.8906072525630596,0.6927076712419361,0.6054314625654671,0.6054314625654671,0.8897308448089761,0.0440903872198299,0.01971782059556552,0.692703019217341,0.6038032565102658,False,False
primary_without_pca_flagged_outliers,5,0.8773138320697971,0.6767728140401148,0.6171224074990747,0.6171224074990747,0.8764669082146556,0.043001652343910485,0.019230923557159402,0.6767723481697366,0.6155462280379728,False,False
primary_without_pca_flagged_outliers,6,0.8653419048170659,0.6656772655723167,0.6275006942652455,0.6275006942652455,0.8647729145552399,0.0349227738536524,0.015617939259923812,0.665675000053539,0.6258218897451278,False,False
primary_without_pca_flagged_outliers,7,0.8596908269960821,0.6642018743911811,0.6323499894951576,0.6323499894951576,0.8590563330455694,0.03661069216247117,0.01637279927572086,0.6641959354792808,0.6308823486110041,False,False
primary_without_pca_flagged_outliers,8,0.8531230351172095,0.6570542211067948,0.6379460132400174,0.6379460132400174,0.8523636037865536,0.03975542360042961,0.017779165928972007,0.6570431658376733,0.636726701639482,False,False
primary_without_pca_flagged_outliers,9,0.8467077926764468,0.651215848227248,0.6433706263847407,0.6433706263847407,0.8460214143786298,0.03773571475170949,0.016875924672872803,0.6512074421720097,0.6420493380047206,False,True
primary_without_pca_flagged_outliers,10,0.8460447813203824,0.6487259793413913,0.6439289222957498,0.6439289222957498,0.8451445870011891,0.04317246005824683,0.019307311089226887,0.6487162537460814,0.6428380749855939,False,False
primary_without_pca_flagged_outliers,11,0.8401435351385603,0.6425173160678834,0.6488788608211528,0.6488788608211528,0.8394943882078602,0.036738894454090155,0.01643013308350712,0.6425199483380647,0.6473531476230947,False,False
primary_without_pca_flagged_outliers,12,0.8395230806198665,0.6387047304581666,0.6493972823630745,0.6493972823630745,0.8388961234171697,0.03596923231193082,0.016085929709591846,0.6387073210129011,0.6479062900880324,False,False
primary_without_pca_flagged_outliers,13,0.8370757632964502,0.6348519818951674,0.6514384066197114,0.6514384066197114,0.8364509266145153,0.035971434706650325,0.016086914650453067,0.6348571939843712,0.6498772866076138,False,False
primary_without_pca_flagged_outliers,14,0.8360959284896954,0.6342120791354513,0.6522539430543385,0.6522539430543385,0.8353747873838273,0.03871086311780758,0.01731202427982144,0.6342210506428158,0.6507132381527581,False,False
primary_without_pca_flagged_outliers,15,0.8341875146739582,0.63429395519452,0.6538396127460162,0.6538396127460162,0.8335510768077183,0.03634033222536727,0.016251890636169483,0.6343010187064192,0.6522679791145313,False,False
primary_without_pca_flagged_outliers,16,0.8337050284849002,0.6318932179309613,0.6542399287478935,0.6542399287478935,0.8329130146490875,0.04054727226373024,0.01813329141677852,0.6319018420896454,0.6527733814620706,False,False
primary_without_pca_flagged_outliers,17,0.8336406437410896,0.6323205504415124,0.6542933308823249,0.6542933308823249,0.832863785798897,0.04014786583863996,0.01795467143334811,0.6323294208691965,0.6528262658872983,False,False
primary_without_pca_flagged_outliers,18,0.834187951097973,0.6369849645977508,0.653839250542692,0.653839250542692,0.8336401502632602,0.033720284059115486,0.015080169475356953,0.6369933523549609,0.6521937128580029,False,False
primary_without_pca_flagged_outliers,19,0.8322698873419971,0.6351417227299855,0.6554292880408694,0.6554292880408694,0.8317611624702603,0.032551311684563454,0.014557389136693414,0.6351518972306456,0.6536723302158396,False,False
primary_without_pca_flagged_outliers,20,0.8323131357049042,0.6350971503572248,0.6553934763249488,0.6553934763249488,0.8317355236777638,0.034714390848161435,0.01552474754679711,0.6351066871460704,0.653675309195253,True,False
