dataset_name,component,component_index,explained_variance,explained_variance_ratio,cumulative_explained_variance_ratio
superblock_block_X_local_electronic_atom_environment,PC1,1,46.789926359532764,0.13960066643584235,0.13960066643584235
superblock_block_X_local_electronic_atom_environment,PC2,2,33.244047373110334,0.09918569079699788,0.23878635723284022
superblock_block_X_local_electronic_atom_environment,PC3,3,24.57733413224377,0.07332801077124557,0.31211436800408576
superblock_block_X_local_electronic_atom_environment,PC4,4,18.527461098104634,0.05527783687423137,0.36739220487831714
superblock_block_X_local_electronic_atom_environment,PC5,5,15.71673671406197,0.046891865198089015,0.41428407007640616
superblock_block_X_local_electronic_atom_environment,PC6,6,11.843495658119007,0.03533580869734733,0.4496198787737535
superblock_block_X_local_electronic_atom_environment,PC7,7,10.325110141784831,0.030805610715028933,0.4804254894887824
superblock_block_X_local_electronic_atom_environment,PC8,8,9.868090890641014,0.029442065247069712,0.5098675547358521
superblock_block_X_local_electronic_atom_environment,PC9,9,8.495357558422384,0.02534642964927244,0.5352139843851246
superblock_block_X_local_electronic_atom_environment,PC10,10,8.31605067583907,0.02481145637077605,0.5600254407559007
superblock_block_X_local_electronic_atom_environment,PC11,11,7.868395905099479,0.023475850414736772,0.5835012911706374
superblock_block_X_local_electronic_atom_environment,PC12,12,6.969034074684442,0.020792548245629622,0.604293839416267
superblock_block_X_local_electronic_atom_environment,PC13,13,6.533715712966009,0.019493748736079394,0.6237875881523464
superblock_block_X_local_electronic_atom_environment,PC14,14,6.334308693596649,0.018898805444610072,0.6426863935969565
superblock_block_X_local_electronic_atom_environment,PC15,15,5.602362884635667,0.016714999427461744,0.6594013930244182
superblock_block_X_local_electronic_atom_environment,PC16,16,5.154045166705574,0.015377415527091143,0.6747788085515094
superblock_block_X_local_electronic_atom_environment,PC17,17,4.9066082285557595,0.014639171974384187,0.6894179805258935
superblock_block_X_local_electronic_atom_environment,PC18,18,4.809870518576527,0.014350548977228587,0.7037685295031221
superblock_block_X_local_electronic_atom_environment,PC19,19,4.733831862694432,0.01412368290023457,0.7178922124033567
superblock_block_X_local_electronic_atom_environment,PC20,20,4.324627093095209,0.012902794923069836,0.7307950073264264
superblock_block_X_local_electronic_atom_environment,PC21,21,4.152075602566148,0.012387976778513232,0.7431829841049397
superblock_block_X_local_electronic_atom_environment,PC22,22,3.994681366731478,0.01191838124962,0.7551013653545596
superblock_block_X_local_electronic_atom_environment,PC23,23,3.8782039171645835,0.01157086350703281,0.7666722288615925
superblock_block_X_local_electronic_atom_environment,PC24,24,3.7374779197253263,0.011150998708007186,0.7778232275695997
superblock_block_X_local_electronic_atom_environment,PC25,25,3.5214309211449524,0.010506408999711163,0.7883296365693108
superblock_block_X_local_electronic_atom_environment,PC26,26,3.444716379569955,0.010277526375556147,0.7986071629448669
superblock_block_X_local_electronic_atom_environment,PC27,27,3.4354734511979146,0.010249949521712848,0.8088571124665798
superblock_block_X_local_electronic_atom_environment,PC28,28,3.2572473229594023,0.009718200741276753,0.8185753132078565
superblock_block_X_local_electronic_atom_environment,PC29,29,3.055982826255992,0.009117715550217113,0.8276930287580736
superblock_block_X_local_electronic_atom_environment,PC30,30,3.0412673519252977,0.00907381101384962,0.8367668397719232
superblock_block_X_local_electronic_atom_environment,PC31,31,2.9018162118530064,0.008657749831368968,0.8454245896032923
superblock_block_X_local_electronic_atom_environment,PC32,32,2.672535660666432,0.007973676992688342,0.8533982665959806
superblock_block_X_local_electronic_atom_environment,PC33,33,2.6200415242973416,0.007817057459569414,0.86121532405555
superblock_block_X_local_electronic_atom_environment,PC34,34,2.420307653090762,0.007221138985238059,0.868436463040788
superblock_block_X_local_electronic_atom_environment,PC35,35,2.370621634337266,0.007072897646338866,0.8755093606871269
superblock_block_X_local_electronic_atom_environment,PC36,36,2.1947550263535285,0.006548188641890115,0.882057549329017
superblock_block_X_local_electronic_atom_environment,PC37,37,2.093112539142865,0.006244931935654365,0.8883024812646714
superblock_block_X_local_electronic_atom_environment,PC38,38,1.9252385830369556,0.005744069507072412,0.8940465507717438
superblock_block_X_local_electronic_atom_environment,PC39,39,1.7598914058471447,0.005250745881135989,0.8992972966528797
superblock_block_X_local_electronic_atom_environment,PC40,40,1.6375484877834923,0.004885728147101622,0.9041830247999814
superblock_block_X_local_electronic_atom_environment,PC41,41,1.5915401443561024,0.004748459382138837,0.9089314841821202
superblock_block_X_local_electronic_atom_environment,PC42,42,1.5220247575910426,0.004541055885809749,0.91347254006793
superblock_block_X_local_electronic_atom_environment,PC43,43,1.4173611637411816,0.004228785519305226,0.9177013255872353
superblock_block_X_local_electronic_atom_environment,PC44,44,1.3460897052391056,0.004016142673315425,0.9217174682605507
superblock_block_X_local_electronic_atom_environment,PC45,45,1.2296091438409236,0.003668615646385313,0.925386083906936
superblock_block_X_local_electronic_atom_environment,PC46,46,1.1250314224263023,0.00335660148565243,0.9287426853925884
superblock_block_X_local_electronic_atom_environment,PC47,47,1.0965093584338648,0.0032715041270698427,0.9320141895196583
superblock_block_X_local_electronic_atom_environment,PC48,48,1.0234941792567318,0.0030536587815837724,0.9350678483012421
superblock_block_X_local_electronic_atom_environment,PC49,49,0.9613436324475624,0.0028682287450574506,0.9379360770462996
superblock_block_X_local_electronic_atom_environment,PC50,50,0.9184289276740026,0.0027401900441573414,0.9406762670904569
