dataset_name,n_components,n_descriptors,rmse_cv_global,mae_cv_global,q2_cv_global,r2_cv_global,fold_rmse_mean,fold_rmse_sd,fold_rmse_se,fold_mae_mean,fold_r2_mean,is_best_rmse,is_one_se_choice
block_Y_only,22,129,0.8986269153476384,0.6937444675527815,0.601016528580574,0.601016528580574,0.8982190617203519,0.030005240106738478,0.013418751311974056,0.6937390706543726,0.6003014291363333,False,False
block_Y_only,23,129,0.8977636113433883,0.6931280293777708,0.6017827610854193,0.6017827610854193,0.8973159364632913,0.031408939855989595,0.014046504923839038,0.6931218676724981,0.6011138808844269,True,False
block_Y_only,24,129,0.8998303221613958,0.6941772928721488,0.599947206235425,0.599947206235425,0.8992680862083123,0.03522468874913499,0.015752959705867573,0.6941698009508751,0.59935255789417,False,False
block_Y_only,25,129,0.9012267714792229,0.6942995926864688,0.5987045565377141,0.5987045565377141,0.9005221942577902,0.039461016766813614,0.017647503190370843,0.6942915498436022,0.5981852221076347,False,False
block_Y_only,26,129,0.90388267743391,0.6944885565847562,0.5963358443627229,0.5963358443627229,0.9029899193652341,0.04450240031619386,0.01990207845378352,0.6944791503819537,0.5958721151190793,False,False
block_Y_only,27,129,0.9085403053313377,0.6946536336445397,0.592165034324232,0.592165034324232,0.9073827993337117,0.050856082185029045,0.022743531367008196,0.6946436294280539,0.5917891919848279,False,False
block_Y_only,28,129,0.9110794792143722,0.6936524681918002,0.589882227549381,0.589882227549381,0.9095553609950897,0.058490744890977026,0.02615785632616463,0.6936415999772787,0.5896287869182018,False,False
block_Y_only,29,129,0.912380090885119,0.6945708788951457,0.5887104643742307,0.5887104643742307,0.9108457702855232,0.05872494322715417,0.026262593006146518,0.6945598741697188,0.5884227374752028,False,False
block_Y_only,30,129,0.9126175664582956,0.6947978586585887,0.5884963344733458,0.5884963344733458,0.9110970594259781,0.05845252623673396,0.026140764424385416,0.694786234499541,0.5881583541356181,False,False
block_X_plus_block_Y,1,464,1.1177737735594373,0.8973304652658239,0.38268917728391616,0.38268917728391616,1.1169344274343775,0.048445552812953895,0.02166550985946421,0.8973314115912736,0.38193667679791843,False,False
block_X_plus_block_Y,2,464,1.0119466161944253,0.7869587577652575,0.4940457304126987,0.4940457304126987,1.0107743180575766,0.05455262090608527,0.024396673739356566,0.7869700410157565,0.4934581835082829,False,False
block_X_plus_block_Y,3,464,0.9491938144145996,0.7441825431172429,0.5548505317873542,0.5548505317873542,0.9483492566037816,0.04498518796470144,0.020117987653935566,0.7441945909924188,0.5541923104374364,False,False
block_X_plus_block_Y,4,464,0.9196867244647579,0.7144472272677252,0.5820966089552778,0.5820966089552778,0.9189605427749772,0.041134834860172345,0.018396057398114684,0.7144600190475432,0.5812176678982889,False,False
block_X_plus_block_Y,5,464,0.900642811474288,0.6989305024271559,0.5992244358284382,0.5992244358284382,0.9003402539461263,0.026046882351568063,0.011648519908009152,0.698935067897861,0.598217872055589,False,False
block_X_plus_block_Y,6,464,0.8863959307716802,0.6857693243963893,0.611803542956435,0.611803542956435,0.8859270709932456,0.03209208620114117,0.01435201725710693,0.6857694760850646,0.6108937815357162,False,False
block_X_plus_block_Y,7,464,0.8931009302808028,0.679909791472069,0.6059084312798679,0.6059084312798679,0.8920367052444202,0.04853764338338768,0.021706694014579548,0.6799097536651565,0.6052204209078267,False,False
block_X_plus_block_Y,8,464,0.8884230153987418,0.6774858996098003,0.6100259922579758,0.6100259922579758,0.8867825466424915,0.060044193459045575,0.026852579645714827,0.6774801228960926,0.6095214708872827,False,False
block_X_plus_block_Y,9,464,0.8837527897105794,0.6700534709038517,0.6141152146606172,0.6141152146606172,0.8814105503128303,0.07151589924577578,0.03198288243711612,0.670044743419028,0.6136920851387935,False,False
block_X_plus_block_Y,10,464,0.8852119379130138,0.6640319515416111,0.612839907970637,0.612839907970637,0.8822243535430948,0.08093224577474634,0.03619400062481059,0.6640264646715808,0.6125256032201796,False,False
block_X_plus_block_Y,11,464,0.8827887411808943,0.660274426052119,0.6149566462427802,0.6149566462427802,0.87976767153913,0.08129062549478863,0.03635427290796497,0.660272579263918,0.6146992145559855,False,False
block_X_plus_block_Y,12,464,0.8775464204090847,0.6561800430141538,0.6195161230964142,0.6195161230964142,0.8752776517698713,0.07014870246216465,0.031371453447761405,0.6561771874965441,0.6191792561986592,False,False
block_X_plus_block_Y,13,464,0.8686076006733213,0.6506571008042473,0.6272279768961291,0.6272279768961291,0.8669632962289937,0.05941626070712012,0.02657175958199406,0.6506568559790148,0.6267165868531227,False,False
block_X_plus_block_Y,14,464,0.8586596443719451,0.6459145831695036,0.6357176206453863,0.6357176206453863,0.8576448427036283,0.04635338367133726,0.020729863375247775,0.6459128104773961,0.6351202665211306,False,False
block_X_plus_block_Y,15,464,0.8510018707738218,0.6440756410205447,0.6421861971375322,0.6421861971375322,0.8503872488942251,0.035893183348788674,0.016051919579351002,0.6440773666906586,0.6415389277021205,False,True
block_X_plus_block_Y,16,464,0.8483778312642052,0.6425187931105225,0.6443894120199192,0.6443894120199192,0.8477955899468927,0.03485306262196522,0.015586763449354257,0.6425181836682115,0.6438286366923889,False,False
block_X_plus_block_Y,17,464,0.8463606828455412,0.6412954335175677,0.646078439102971,0.646078439102971,0.8458369181963004,0.03291408727507822,0.014719627312887142,0.6412931697914722,0.6454756058907781,False,False
block_X_plus_block_Y,18,464,0.8465800057765288,0.6422890104162581,0.6458949873591942,0.6458949873591942,0.8460087160082832,0.03446112728546316,0.015411484638313684,0.6422874112639387,0.6453508584863431,False,False
block_X_plus_block_Y,19,464,0.844883589927828,0.6417902656482636,0.6473127092212101,0.6473127092212101,0.844282952338822,0.03527315550259563,0.015774634696944918,0.6417862370104783,0.6468332110387562,False,False
block_X_plus_block_Y,20,464,0.8442235437390261,0.6404317051312188,0.647863551902899,0.647863551902899,0.8435355340452132,0.03777083641302503,0.016891631557309657,0.6404284356646814,0.6473995835480869,False,False
block_X_plus_block_Y,21,464,0.8477425443143571,0.6406677538911258,0.6449217931644543,0.6449217931644543,0.846771584159909,0.04503549497961993,0.020140485634956132,0.6406638260492673,0.6445405881594729,False,False
block_X_plus_block_Y,22,464,0.8442566606395968,0.6378886175772681,0.6478359243946274,0.6478359243946274,0.8433752848218564,0.04276241854058716,0.019123934947810048,0.6378820751573279,0.6474034346456347,False,False
block_X_plus_block_Y,23,464,0.8410436015904339,0.6381066959582564,0.6505113449255692,0.6505113449255692,0.8403212197002456,0.03859651963541416,0.017260888319938293,0.6380981397756089,0.6499574403800474,False,False
block_X_plus_block_Y,24,464,0.835876699215364,0.6366982853858351,0.6547922809569477,0.6547922809569477,0.8350777455835123,0.040563639115138286,0.018140610895243724,0.6366913025564777,0.6542210396691638,False,False
block_X_plus_block_Y,25,464,0.8347980690538349,0.6369177979110181,0.655682630487278,0.655682630487278,0.8339455094042272,0.041927337840115014,0.018750475505219275,0.6369116741564433,0.6551410507982188,False,False
block_X_plus_block_Y,26,464,0.8342708834969973,0.6354534199647888,0.6561173747328211,0.6561173747328211,0.8335220955355183,0.03930204134024172,0.017576407218257484,0.6354492872951095,0.6555893437090365,True,False
block_X_plus_block_Y,27,464,0.839842032705908,0.6366862940478418,0.6515092354506435,0.6515092354506435,0.8388777373747672,0.04474377126711906,0.020010022824596022,0.6366816158035684,0.6511084974872965,False,False
block_X_plus_block_Y,28,464,0.8478985134142734,0.6396843569177352,0.6447911253732547,0.6447911253732547,0.8463507933252428,0.056955328724997596,0.02547119734198821,0.6396778858534681,0.6445343890411643,False,False
block_X_plus_block_Y,29,464,0.8566196686689873,0.6410800445989463,0.6374464650344855,0.6374464650344855,0.8543652974081617,0.06912733042125806,0.030914681985004435,0.6410743885933652,0.6372767410686203,False,False
block_X_plus_block_Y,30,464,0.8654852576617607,0.6409743650504027,0.629903132333884,0.629903132333884,0.862003889649535,0.08640662119140805,0.03864221573801245,0.6409689016797447,0.629949738761695,False,False
primary_full_constant_removed,1,504,1.1465197196992079,0.9198251409785977,0.35052996620783006,0.35052996620783006,1.1449416347135826,0.06707423688238855,0.02999651064158887,0.9198224603790827,0.3499967762290502,False,False
primary_full_constant_removed,2,504,1.025957238276345,0.7990161894111736,0.47993864910242445,0.47993864910242445,1.0247067662826446,0.05664778875994123,0.02533366128845542,0.7990261745422029,0.4793798111240936,False,False
primary_full_constant_removed,3,504,0.9613104414631964,0.7505311517554986,0.5434131712888826,0.5434131712888826,0.9601945485463546,0.05188785926846848,0.023204956106247603,0.7505422731140319,0.5428792246930908,False,False
primary_full_constant_removed,4,504,0.9355400973508486,0.7201703903453883,0.5675649649738548,0.5675649649738548,0.9341738166624527,0.056588658664645554,0.025307217505935984,0.7201821423574983,0.5669564867534713,False,False
primary_full_constant_removed,5,504,0.9131204978057877,0.7007924422272895,0.5880426611570966,0.5880426611570966,0.9124115713712915,0.040049969214746226,0.017910890732189287,0.7007970088377208,0.5872107459857387,False,False
primary_full_constant_removed,6,504,0.8926044622302728,0.6873606233835045,0.6063464545423394,0.6063464545423394,0.8920081648570667,0.0362502988395232,0.016211626481971123,0.687359806224382,0.6054943802883077,False,False
primary_full_constant_removed,7,504,0.9043975394355891,0.681856125436034,0.5958758498702278,0.5958758498702278,0.9025774596488756,0.063871465506973,0.028564187739224936,0.6818555809591831,0.5953354591206341,False,False
primary_full_constant_removed,8,504,0.9041529932199919,0.6804823119133828,0.5960943680903237,0.5960943680903237,0.9009984107449464,0.0840534565799535,0.0375898485313206,0.680475018157801,0.5958223069650701,False,False
primary_full_constant_removed,9,504,0.9023560404249096,0.6729016756887981,0.597698251762933,0.597698251762933,0.8977631486051585,0.10126976993502336,0.045289217928095336,0.6728891882851327,0.597566843024768,False,False
primary_full_constant_removed,10,504,0.9126342895944913,0.666725975207373,0.5884812532495182,0.5884812532495182,0.905742313175071,0.12482763985593362,0.055824617637745926,0.666717216335596,0.5885867466092478,False,False
primary_full_constant_removed,11,504,0.9120402309523301,0.6627966947704351,0.5890168165212731,0.5890168165212731,0.9047200771020079,0.12861096677373968,0.057516572871609745,0.6627911434152832,0.5892114720369006,False,False
primary_full_constant_removed,12,504,0.9059034393278111,0.6598229511767622,0.5945289263133651,0.5945289263133651,0.9002182252094908,0.11295717288645786,0.05051598342406318,0.6598191922564121,0.5946267919057936,False,False
primary_full_constant_removed,13,504,0.895997273375726,0.654040991194293,0.6033481938297811,0.6033481938297811,0.8913130660019567,0.10197400139653828,0.045604159812063616,0.6540393620573755,0.6032853304412436,False,False
primary_full_constant_removed,14,504,0.8811290651374671,0.6476541461832742,0.6164030772714344,0.6164030772714344,0.8781807128829678,0.08023802224346038,0.03588353442330352,0.6476544200354658,0.6160882108068839,False,False
primary_full_constant_removed,15,504,0.8752790955389936,0.6454090019759866,0.6214797026378149,0.6214797026378149,0.8728698046794781,0.07224508971731056,0.03230898632969549,0.6454076664996823,0.6211187989915559,False,False
primary_full_constant_removed,16,504,0.8699111001115595,0.6424630795146955,0.6261083166078724,0.6261083166078724,0.8678970360400452,0.0658874043880731,0.029465743014549874,0.6424655457446161,0.6257615806542614,False,False
primary_full_constant_removed,17,504,0.8683348976269526,0.6399220499160888,0.6274620068736372,0.6274620068736372,0.8664755635495682,0.06317629416649999,0.028253297664563477,0.6399195008303773,0.6270972534530995,False,False
primary_full_constant_removed,18,504,0.8630620508965408,0.6409372816526527,0.6319726436388756,0.6319726436388756,0.8616731441174027,0.05442721962235156,0.024340592580377702,0.6409360015338649,0.6315713578193985,False,False
primary_full_constant_removed,19,504,0.8602568235053182,0.6420742218979765,0.6343611685522732,0.6343611685522732,0.8590265152540114,0.05110921815380459,0.022856737213754672,0.642071550183676,0.6339686168673548,False,False
primary_full_constant_removed,20,504,0.8555413056106483,0.641078364622972,0.6383586977759287,0.6383586977759287,0.8545066264410046,0.04669634325033989,0.020883239561684693,0.64107572482097,0.6379079424042079,False,False
primary_full_constant_removed,21,504,0.858557338412961,0.6415901538064321,0.6358044211331491,0.6358044211331491,0.8571790673260058,0.0540411440885143,0.024167934352755775,0.6415865674881414,0.6353972719539361,False,False
primary_full_constant_removed,22,504,0.8546696403651833,0.6389370810716754,0.6390952363085303,0.6390952363085303,0.853444361400759,0.05075128241017384,0.022696663482887614,0.6389303284905778,0.6386051408604614,False,False
primary_full_constant_removed,23,504,0.8482542477835926,0.6388531752992048,0.6444930082989722,0.6444930082989722,0.847432698588473,0.04131194859221198,0.018475265067032544,0.6388452647825583,0.6438539580399272,False,True
primary_full_constant_removed,24,504,0.8430581390053163,0.6381489061063553,0.6488350913296181,0.6488350913296181,0.8422971633412919,0.03968119359651468,0.017745969262027237,0.6381425128976367,0.6481641506982181,False,False
primary_full_constant_removed,25,504,0.8408448176652991,0.638554203873339,0.6506765314068406,0.6506765314068406,0.8401049850480315,0.039133999804895625,0.017501256759042023,0.6385483239370331,0.650011028204853,False,False
primary_full_constant_removed,26,504,0.8379424643994873,0.6349181523062333,0.6530838967437261,0.6530838967437261,0.8373539319889023,0.03492322194239725,0.015618139651302498,0.634915553572647,0.6523505451347033,False,False
primary_full_constant_removed,27,504,0.8375747957835427,0.6358641544614293,0.6533882665209081,0.6533882665209081,0.8369474384064608,0.0360722907190993,0.01613201883040816,0.6358625737209369,0.6527485635583273,True,False
primary_full_constant_removed,28,504,0.8384486161781817,0.6375802130992083,0.6526646669215213,0.6526646669215213,0.8376856204400379,0.039744424360774064,0.017774246919457885,0.637576790736744,0.6520541821455226,False,False
primary_full_constant_removed,29,504,0.8396737607354745,0.6398445465491216,0.6516488696928566,0.6516488696928566,0.8387981236837699,0.04261892537936703,0.019059762855251138,0.6398412086829364,0.6510335772283552,False,False
primary_full_constant_removed,30,504,0.8397684580132547,0.6389094659051051,0.6515702921179456,0.6515702921179456,0.8389234629269955,0.04190537943888624,0.018740655409654323,0.6389071012489118,0.6510028053691291,False,False
not_assigned_reference_only,1,40,1.318317646366008,1.0470212191369301,0.14131042400489624,0.14131042400489624,1.3122790219715117,0.14045713269871835,0.06281433932780854,1.047006196369344,0.14160451866017842,False,False
not_assigned_reference_only,2,40,1.1741277277873938,0.9460186465205712,0.31887511320514506,0.31887511320514506,1.1739265080012937,0.02380721299876627,0.010646909324011598,0.9460167791065339,0.31772590142296714,False,False
not_assigned_reference_only,3,40,1.0957308166300477,0.8454221841636173,0.4067963533126854,0.4067963533126854,1.093636836388961,0.07573948065887215,0.03387172546675374,0.845439150732673,0.4063557467434025,False,False
not_assigned_reference_only,4,40,1.0630776446299994,0.8277930522459018,0.44162491562867456,0.44162491562867456,1.061848321181684,0.057416044999985774,0.02567723592383102,0.8278102284141685,0.44097174013519425,False,False
not_assigned_reference_only,5,40,1.0253160398117942,0.8102480004256775,0.4805884975058845,0.4805884975058845,1.0247696052366069,0.038332221085359976,0.017142690415083133,0.8102701991890106,0.47955991890231975,True,True
not_assigned_reference_only,6,40,1.0368504765542588,0.8030883018552605,0.4688363784465398,0.4688363784465398,1.035473560783398,0.06020957804429738,0.026926541880725553,0.8031097509179039,0.4682221471488461,False,False
not_assigned_reference_only,7,40,1.086950529899106,0.7955177833377458,0.41626515662867203,0.41626515662867203,1.0772573209939376,0.16175233974905126,0.07233784543970398,0.7955262591566528,0.41700575540845775,False,False
not_assigned_reference_only,8,40,1.1107301471205742,0.794847389978305,0.39044460541333403,0.39044460541333403,1.094138863479012,0.21356453383913776,0.09550896304947323,0.7948469036251586,0.39184772316443583,False,False
not_assigned_reference_only,9,40,1.0632686022711229,0.7884255315656359,0.44142429892682744,0.44142429892682744,1.0555111009372364,0.1431122761519596,0.06400175557810073,0.7884239648193165,0.4419037754877474,False,False
not_assigned_reference_only,10,40,1.1087469943937642,0.7876275868210112,0.3926193231578655,0.3926193231578655,1.0901679634351875,0.22570556985435736,0.10093859941893407,0.7876258742628943,0.39404732897836353,False,False
not_assigned_reference_only,11,40,1.1148211773148062,0.7867707449971416,0.3859461195591314,0.3859461195591314,1.0938837060058006,0.2401317838763502,0.10739019846116139,0.7867674033594263,0.3875486734976044,False,False
not_assigned_reference_only,12,40,1.1574402024903518,0.7883271888134895,0.33809877292257384,0.33809877292257384,1.1232488360022121,0.3118579459767825,0.13946711330550854,0.7883180423808824,0.3407508070160986,False,False
not_assigned_reference_only,13,40,1.184138023628727,0.7897097711123602,0.3072114299651565,0.3072114299651565,1.1412760905024093,0.3526194306422249,0.15769620342065743,0.7897039153319728,0.3104311693355452,False,False
not_assigned_reference_only,14,40,1.18237602047111,0.786660075326099,0.3092716415673209,0.3092716415673209,1.1386057804803529,0.3559950742620476,0.15920583714100484,0.7866524527751866,0.31257741739828904,False,False
not_assigned_reference_only,15,40,1.181063072116876,0.7878499277671434,0.3108048038193585,0.3108048038193585,1.1382674109685502,0.3518831777507006,0.1573669411178416,0.7878436260195569,0.31405306068261796,False,False
not_assigned_reference_only,16,40,1.2606163028481572,0.7896240608889756,0.21483325221592697,0.21483325221592697,1.189876356847344,0.46509350464015825,0.20799613845380152,0.789615377994842,0.2200105826265923,False,False
not_assigned_reference_only,17,40,1.4208396657283007,0.7933534298576617,0.0025613201536552888,0.0025613201536552888,1.2854473641914306,0.6762901903993067,0.30244616764982507,0.793343908016386,0.01204943189570853,False,False
not_assigned_reference_only,18,40,1.5073058971890532,0.7949588810256675,-0.12253232668370728,-0.12253232668370728,1.3338776178877854,0.7842984627963344,0.3507489354922387,0.7949496124060419,-0.11047892366293999,False,False
not_assigned_reference_only,19,40,1.6095191062056569,0.7976710390917575,-0.2799362317157261,-0.2799362317157261,1.3892764160046196,0.9080616332188245,0.40609750792735455,0.7976605444217085,-0.26464295905067814,False,False
not_assigned_reference_only,20,40,1.7653598695879695,0.8019844721128625,-0.539793776346889,-0.539793776346889,1.4706494422781247,1.0912245105804947,0.48801043687438495,0.8019712368388617,-0.5191997156320033,False,False
not_assigned_reference_only,21,40,1.7762089517616413,0.8014357473841677,-0.5587776460485632,-0.5587776460485632,1.475981631078442,1.1041456762098327,0.49378895781353166,0.8014236389035962,-0.5377611700147008,False,False
