model_name,low_activity_bin_mean_residual,high_activity_bin_mean_residual,high_minus_low_residual_gap,max_abs_bin_mean_residual,mean_abs_bin_mean_residual,mean_bin_abs_residual
hist_gradient_boosting_block_X_plus_Y,-0.3750939865316707,0.4619336091619861,0.8370275956936568,0.4619336091619861,0.2784084755019268,0.49928560205035694
hist_gradient_boosting_on_PCA_scores,-0.4610570139369078,0.5701728619187214,1.031229875855629,0.5701728619187214,0.3481845915575411,0.5820196759189795
hist_gradient_boosting_on_PLS_scores,-0.3813264126359482,0.5129332229945657,0.8942596356305139,0.5129332229945657,0.3192774695383364,0.5548699365870486
hist_gradient_boosting_primary_descriptors,-0.3718219160298916,0.4638198535090367,0.8356417695389283,0.4638198535090367,0.2778224482299769,0.4965888287085899
kernel_ridge_rbf_on_PLS_scores,-0.013303060522431605,0.8122254920305749,0.8255285525530065,0.8122254920305749,0.3204859665460735,0.7886709735894921
linear_PLS_from_03,-0.4149100269516689,0.6304442874203443,1.0453543143720132,0.6304442874203443,0.38397854713050794,0.6414004259307217
quadratic_ridge_on_PLS_scores,-0.49286574020721474,0.6837305417082276,1.1765962819154423,0.6837305417082276,0.4245239619563831,0.6579398598567343
random_forest_block_X_plus_Y,-0.5326745728863745,0.6109194720850266,1.143594044971401,0.6109194720850266,0.3747239313714067,0.5301113571337709
random_forest_on_PCA_scores,-0.6917077773665384,0.7785980382804238,1.4703058156469622,0.7785980382804238,0.472101051243599,0.6122870694684803
random_forest_on_PLS_scores,-0.6262066286604104,0.7169509770324023,1.3431576056928127,0.7169509770324023,0.44289525437795546,0.5852301627495539
random_forest_primary_descriptors,-0.5296817284064664,0.6129152597573753,1.1425969881638416,0.6129152597573753,0.3760404723477147,0.5310321285281672
rbf_svr_on_PLS_scores,-0.452247147665461,0.4269429489065733,0.8791900965720343,0.452247147665461,0.3037100143833482,0.5590165230911485
ridge_on_PCA_scores,-0.7167283158155392,1.0896804715959956,1.8064087874115349,1.0896804715959956,0.578203538130966,0.7797291121566874
ridge_on_PLS_scores,-0.42432716760510525,0.6396554408526466,1.063982608457752,0.6396554408526466,0.38881806952824205,0.6412422592189524
spline_ridge_on_PCA_scores,-0.8985467840724782,1.2872888114663277,2.185835595538806,1.2872888114663277,0.6814864910810617,0.8262893128055403
tuned_spline_ridge_on_PLS_scores,-0.46997445933101356,0.7350744385510106,1.2050488978820242,0.7350744385510106,0.4245934785805903,0.6628830827402468
