dataset_name,component,component_index,explained_variance,explained_variance_ratio,cumulative_explained_variance_ratio
primary_remove_constant_only,PC1,1,96.1155707803371,0.190608888918646,0.190608888918646
primary_remove_constant_only,PC2,2,49.02532593750383,0.0972231952633191,0.2878320841819651
primary_remove_constant_only,PC3,3,39.88080589772752,0.07908849772862334,0.3669205819105884
primary_remove_constant_only,PC4,4,26.07153148809402,0.05170302385978991,0.4186236057703783
primary_remove_constant_only,PC5,5,21.277094192698286,0.042195070481933536,0.4608186762523119
primary_remove_constant_only,PC6,6,15.19593954559752,0.030135399804063868,0.49095407605637575
primary_remove_constant_only,PC7,7,13.899145494475315,0.027563699181220765,0.5185177752375966
primary_remove_constant_only,PC8,8,12.236500355999569,0.024266471271758218,0.5427842465093548
primary_remove_constant_only,PC9,9,11.288207951931032,0.022385891881322208,0.565170138390677
primary_remove_constant_only,PC10,10,9.877055148531198,0.019587403917647742,0.5847575423083248
primary_remove_constant_only,PC11,11,9.16530332892868,0.01817591332961063,0.6029334556379354
primary_remove_constant_only,PC12,12,8.542774267183892,0.01694136234255021,0.6198748179804856
primary_remove_constant_only,PC13,13,8.399613797778784,0.016657457687052266,0.6365322756675379
primary_remove_constant_only,PC14,14,7.54863558517422,0.01496986419640721,0.6515021398639451
primary_remove_constant_only,PC15,15,7.395671982659512,0.014666518733402514,0.6661686585973476
primary_remove_constant_only,PC16,16,7.136778187189028,0.014153100789754871,0.6803217593871025
primary_remove_constant_only,PC17,17,6.547136058131434,0.012983768597615557,0.693305527984718
primary_remove_constant_only,PC18,18,6.4669874046889,0.012824824051409603,0.7061303520361276
primary_remove_constant_only,PC19,19,6.0387578526124885,0.011975592668182853,0.7181059447043104
primary_remove_constant_only,PC20,20,5.556216972702977,0.011018655303813645,0.7291246000081241
primary_remove_constant_only,PC21,21,5.284819570660158,0.010480441184719306,0.7396050411928434
primary_remove_constant_only,PC22,22,4.904943855883259,0.0097271013529632,0.7493321425458066
primary_remove_constant_only,PC23,23,4.774344573869387,0.009468107062692289,0.7588002496084989
primary_remove_constant_only,PC24,24,4.571338460842797,0.009065521203465331,0.7678657708119643
primary_remove_constant_only,PC25,25,4.395377171926256,0.008716568525967045,0.7765823393379313
primary_remove_constant_only,PC26,26,4.342941275752458,0.008612581754333725,0.7851949210922651
primary_remove_constant_only,PC27,27,4.14956528335798,0.008229093597788412,0.7934240146900535
primary_remove_constant_only,PC28,28,4.06105094158624,0.008053558872233536,0.8014775735622871
primary_remove_constant_only,PC29,29,3.9937898604495525,0.00792017195231157,0.8093977455145986
primary_remove_constant_only,PC30,30,3.869681959240233,0.00767405086117643,0.8170717963757751
primary_remove_constant_only,PC31,31,3.731037121953643,0.007399101254417087,0.8244708976301922
primary_remove_constant_only,PC32,32,3.5011858027765035,0.006943278080199383,0.8314141757103916
primary_remove_constant_only,PC33,33,3.317245243174684,0.006578501536626599,0.8379926772470182
primary_remove_constant_only,PC34,34,3.2147117271044463,0.006375165080146143,0.8443678423271643
primary_remove_constant_only,PC35,35,3.0924129473869817,0.006132631697377936,0.8505004740245423
primary_remove_constant_only,PC36,36,2.995585727682557,0.0059406115219255975,0.8564410855464679
primary_remove_constant_only,PC37,37,2.857733116075647,0.005667232995224883,0.8621083185416928
primary_remove_constant_only,PC38,38,2.783750549631449,0.00552051655089864,0.8676288350925915
primary_remove_constant_only,PC39,39,2.7326016634585937,0.005419082076924432,0.8730479171695159
primary_remove_constant_only,PC40,40,2.5689431345042464,0.00509452727157098,0.8781424444410869
primary_remove_constant_only,PC41,41,2.282666695709631,0.004526806209528539,0.8826692506506154
primary_remove_constant_only,PC42,42,2.2151689445831684,0.004392949944177677,0.8870622005947931
primary_remove_constant_only,PC43,43,2.083681485702114,0.004132194290951289,0.8911943948857444
primary_remove_constant_only,PC44,44,2.011389096548799,0.003988829674147633,0.895183224559892
primary_remove_constant_only,PC45,45,1.98139069437835,0.0039293391872200585,0.899112563747112
primary_remove_constant_only,PC46,46,1.9267661387901047,0.003821012037271111,0.9029335757843832
primary_remove_constant_only,PC47,47,1.7755281150073265,0.0035210886071604043,0.9064546643915435
primary_remove_constant_only,PC48,48,1.7465684538416424,0.0034636580702199654,0.9099183224617635
primary_remove_constant_only,PC49,49,1.7087451247072287,0.0033886497996246487,0.9133069722613881
primary_remove_constant_only,PC50,50,1.5466016010245656,0.0030670994343343122,0.9163740716957225
primary_remove_constant_only,PC51,51,1.439656298854955,0.002855013868425271,0.9192290855641477
primary_remove_constant_only,PC52,52,1.371888790440226,0.0027206226415007876,0.9219497082056485
primary_remove_constant_only,PC53,53,1.3180272842823597,0.002613808711552863,0.9245635169172013
primary_remove_constant_only,PC54,54,1.1960820012050115,0.0023719763556969667,0.9269354932728983
primary_remove_constant_only,PC55,55,1.151776149318254,0.002284112452562797,0.929219605725461
primary_remove_constant_only,PC56,56,1.1292125438260354,0.002239366073407441,0.9314589717988685
primary_remove_constant_only,PC57,57,1.0734465513138804,0.0021287753149497914,0.9335877471138183
primary_remove_constant_only,PC58,58,1.0491867907995776,0.0020806652537024655,0.9356684123675207
primary_remove_constant_only,PC59,59,1.0156711409683707,0.002014199636073114,0.9376826120035938
primary_remove_constant_only,PC60,60,1.003938734009333,0.0019909328434332993,0.9396735448470271
primary_remove_constant_only,PC61,61,0.9693245493722296,0.0019222886974230575,0.9415958335444502
primary_remove_constant_only,PC62,62,0.9466829158424243,0.0018773875791611428,0.9434732211236113
primary_remove_constant_only,PC63,63,0.9373571960003536,0.0018588935403385872,0.94533211466395
