pIC50_bin,n_compounds,mean_observed_pIC50,mean_predicted_pIC50,mean_residual,median_residual,mean_abs_residual,median_abs_residual,prop_large_residual
"(2.455, 5.16]",395,4.6753056008006055,5.090215627752275,-0.4149100269516689,-0.3720976822788664,0.7497488654139276,0.5629344770516607,0.09113924050632911
"(5.16, 6.126]",395,5.640436975993261,6.075295120443301,-0.4348581444500406,-0.3656488462241682,0.6438473001441618,0.4828628829490577,0.060759493670886074
"(6.126, 6.963]",396,6.570006174732297,6.672367475097535,-0.1023613003652392,-0.01779519198052565,0.5187923837136791,0.38741450711957937,0.017676767676767676
"(6.963, 7.921]",397,7.382596598052564,7.045277621587317,0.33731897646524683,0.3146862880233465,0.5637520817308131,0.4831436700654636,0.017632241813602016
"(7.921, 10.337]",391,8.679420407908225,8.04897612048788,0.6304442874203443,0.5314860204567902,0.7308614986510266,0.5629177237059526,0.0639386189258312
