dataset_name,n_components,fold,rmse,mae,r2
primary_remove_constant_only,19,2,0.9392353126980748,0.6521255186272666,0.5728284544457274
primary_remove_constant_only,19,3,0.8178262046030585,0.6314773851404871,0.6766581089236254
primary_remove_constant_only,19,4,0.826927365315913,0.62340723354587,0.6458067798925105
primary_remove_constant_only,19,5,0.8304375371942687,0.6367975861545946,0.6573878787646122
primary_remove_constant_only,20,1,0.8872189189482476,0.6699835791795611,0.611478802501928
primary_remove_constant_only,20,2,0.920318520701029,0.652251686777829,0.5898621835086595
primary_remove_constant_only,20,3,0.8141976355196551,0.6245745896442138,0.6795209802208424
primary_remove_constant_only,20,4,0.8245115822224434,0.6227040128341029,0.6478732350040612
primary_remove_constant_only,20,5,0.8262864748136458,0.6358647556691428,0.6608045107855505
primary_remove_constant_only,21,1,0.8933520556699428,0.6748526854909838,0.6060887242987988
primary_remove_constant_only,21,2,0.934262254034856,0.6539969062531108,0.5773400504850943
primary_remove_constant_only,21,3,0.8092714294900659,0.6212731557822038,0.6833872888524928
primary_remove_constant_only,21,4,0.8237561875200842,0.6233029147324077,0.6485181570405245
primary_remove_constant_only,21,5,0.8252534099150816,0.6345071751820008,0.661652139092769
primary_remove_constant_only,22,1,0.8962067085074019,0.6737740186441742,0.6035672624903311
primary_remove_constant_only,22,2,0.9192773200869991,0.650583620280088,0.590789675835993
primary_remove_constant_only,22,3,0.8074554405649325,0.6211684868804185,0.6848066397671178
primary_remove_constant_only,22,4,0.8278601429262114,0.6235247832439198,0.6450072662802981
primary_remove_constant_only,22,5,0.8164221949182522,0.6256007334042905,0.6688548599285647
primary_remove_constant_only,23,1,0.8977074719418164,0.6749557203182298,0.602238439806813
primary_remove_constant_only,23,2,0.885179067997163,0.6454115491319918,0.6205838943302737
primary_remove_constant_only,23,3,0.8076468846691857,0.620195578037793,0.684657160152803
primary_remove_constant_only,23,4,0.831319179442228,0.6304335715022711,0.642034546391081
primary_remove_constant_only,23,5,0.8153108888919706,0.6232299049225056,0.6697557495186661
primary_remove_constant_only,24,1,0.8974579094211074,0.6731527279520491,0.6024595643550369
primary_remove_constant_only,24,2,0.8693603898993821,0.6442091648443036,0.6340235090591553
primary_remove_constant_only,24,3,0.8028178547901424,0.617187837043806,0.6884168415459747
primary_remove_constant_only,24,4,0.8259792058160047,0.630640515761054,0.6466185540514049
primary_remove_constant_only,24,5,0.815870456779824,0.6255223188869706,0.6693022844795179
primary_remove_constant_only,25,1,0.9003725150850802,0.6762383743486388,0.5998732479134672
primary_remove_constant_only,25,2,0.8576441078185704,0.6389106138868104,0.6438214942538858
primary_remove_constant_only,25,3,0.8036020696120395,0.6183398420663034,0.6878078180353946
primary_remove_constant_only,25,4,0.8200105940898449,0.6323114597143594,0.6517072439119873
primary_remove_constant_only,25,5,0.8188956386346202,0.6269413296690518,0.6668453369095318
primary_remove_constant_only,26,1,0.8950237690111009,0.6713393747990812,0.6046131070291332
primary_remove_constant_only,26,2,0.8415427642511608,0.6243986549164443,0.6570696904817304
primary_remove_constant_only,26,3,0.8039311127760872,0.6179003042673726,0.6875521050697987
primary_remove_constant_only,26,4,0.8205105853981289,0.6311537804069236,0.6512823800311691
primary_remove_constant_only,26,5,0.8257614285080325,0.6297856534734119,0.661235443061686
primary_remove_constant_only,27,1,0.8953822458902873,0.6694048320674335,0.6042963211541867
primary_remove_constant_only,27,2,0.8455976761892753,0.6314117729306263,0.6537569596212092
primary_remove_constant_only,27,3,0.8063328799201724,0.6195091639325523,0.6856824223631331
primary_remove_constant_only,27,4,0.8111926239775388,0.6262449076848797,0.6591576888159942
primary_remove_constant_only,27,5,0.8262317660550291,0.6327421919891927,0.6608494258371141
primary_remove_constant_only,28,1,0.9008752850891121,0.6735699253159225,0.599426259821855
primary_remove_constant_only,28,2,0.851912076112007,0.6359238215931661,0.6485665951720253
primary_remove_constant_only,28,3,0.8046885329081036,0.6188158893104929,0.686963084932438
primary_remove_constant_only,28,4,0.810586406249201,0.6287532702320406,0.6596669327082196
primary_remove_constant_only,28,5,0.8203658018417646,0.6308210472320972,0.665648038093076
primary_remove_constant_only,29,1,0.9039465341601494,0.675051990565128,0.5966903454467282
primary_remove_constant_only,29,2,0.8587053258602585,0.6440309512347048,0.6429395039172271
primary_remove_constant_only,29,3,0.7994075682315849,0.6155743152654051,0.691058364699944
