dataset_name,n_components,fold,rmse,mae,r2
block_X_only,6,5,0.9119395277077919,0.7135339216323482,0.5868375338160685
block_X_only,7,1,0.9360612000561919,0.718687023442973,0.567524391399897
block_X_only,7,2,1.0205924475389048,0.7158993723560628,0.4956196119416624
block_X_only,7,3,0.84977671468453,0.6449561667631466,0.6509002136785587
block_X_only,7,4,0.8534887520041188,0.6612798895013333,0.6226875641246701
block_X_only,7,5,0.8995397289727085,0.700153776408108,0.597996829407584
block_X_only,8,1,0.9397275718012653,0.7254160291452675,0.5641299090115615
block_X_only,8,2,1.0250487631021168,0.7275786612511788,0.49120534195509935
block_X_only,8,3,0.8415661752704364,0.6389921807486763,0.657613625396404
block_X_only,8,4,0.8416767539956997,0.6509280267551174,0.633059050162868
block_X_only,8,5,0.8769592903355587,0.6835006363439297,0.6179258578192455
block_X_only,9,1,0.9440708732560836,0.7211380549248022,0.5600915257051253
block_X_only,9,2,1.0644036833136288,0.7324372935639107,0.451386830666757
block_X_only,9,3,0.823625208173936,0.6253120507289192,0.6720563767542357
block_X_only,9,4,0.840413791998117,0.65192512436692,0.6341594364463736
block_X_only,9,5,0.8716373782841417,0.6830021102085339,0.6225490944241239
block_X_only,10,1,0.9371307240641659,0.7126930659919843,0.566535551584182
block_X_only,10,2,1.0568552088749674,0.7262461833819451,0.4591404835700831
block_X_only,10,3,0.8145670831573155,0.6223372917222706,0.6792300752266323
block_X_only,10,4,0.8419973329742139,0.6525073918876612,0.6327794750016702
block_X_only,10,5,0.8746868353296307,0.6850035572194866,0.619903421357324
block_X_only,11,1,0.9149601453161377,0.6984080968137087,0.5868026908341737
block_X_only,11,2,1.0764619828634137,0.7273701050835264,0.4388862848369147
block_X_only,11,3,0.8144465899866975,0.6233749525256502,0.6793249666785939
block_X_only,11,4,0.8527073088338014,0.6586911458225081,0.6233781725147709
block_X_only,11,5,0.8784263768796063,0.6910747263156671,0.6166464262514996
block_X_only,12,1,0.930326786646518,0.7115102929946375,0.5728069467968742
block_X_only,12,2,1.0411897857366588,0.7173640293448589,0.4750556219454205
block_X_only,12,3,0.8181903908656437,0.6262428777159414,0.6763700699899173
block_X_only,12,4,0.8519251929123495,0.6542076542755054,0.6240687420367753
block_X_only,12,5,0.8776060773156087,0.6856182190056076,0.6173620649199132
block_X_only,13,1,0.9232316689635265,0.7060926792849384,0.579298057571132
block_X_only,13,2,1.0260466448523289,0.7099305893980099,0.4902142397703868
block_X_only,13,3,0.8212657725278152,0.6276234808449802,0.6739326029084457
block_X_only,13,4,0.8483853519143943,0.6526111176402531,0.6271863214036452
block_X_only,13,5,0.8803995697746724,0.6878219508059485,0.614922251873514
block_X_only,14,1,0.9209620584911831,0.7050530293042803,0.5813639656677978
block_X_only,14,2,1.0102133773387985,0.7011644830445796,0.5058261942184288
block_X_only,14,3,0.825212766710138,0.6276308523154406,0.6707909189785448
block_X_only,14,4,0.8455500436123193,0.6496020521619968,0.6296740479920011
block_X_only,14,5,0.8795608186037736,0.6863555323553595,0.6156556246978437
block_X_only,15,1,0.9239292310523691,0.7045437369768285,0.5786620815709286
block_X_only,15,2,0.9847507083227591,0.6946965776167735,0.5304237807783873
block_X_only,15,3,0.8294272713227224,0.6263165979726936,0.6674196764856232
block_X_only,15,4,0.8389479000193708,0.647085606629487,0.6354345584090373
block_X_only,15,5,0.8742692943404835,0.679851754944385,0.6202662209675178
block_X_only,16,1,0.9250202816208789,0.7058516378311802,0.5776663940527187
block_X_only,16,2,0.9686645814232632,0.6926639621636258,0.545639748005312
block_X_only,16,3,0.8258544126929497,0.621808787264495,0.6702787654679585
block_X_only,16,4,0.8311946914503469,0.6425011176293579,0.6421417472473343
block_X_only,16,5,0.8772531841048709,0.6813705403401901,0.6176697272857553
block_X_only,17,1,0.9213410464926175,0.7046445836124352,0.5810193463049241
block_X_only,17,2,0.9502676478140667,0.6838372854085504,0.5627343332878132
block_X_only,17,3,0.8267977944172369,0.6216803155023516,0.6695250475209535
block_X_only,17,4,0.8323420910509577,0.642302228026206,0.6411530743753455
block_X_only,17,5,0.8672845457996745,0.6744056469781381,0.6263095530709468
block_X_only,18,1,0.9222932113353185,0.7042897190677465,0.5801529032165977
block_X_only,18,2,0.9347841915789674,0.6816107120681862,0.5768676698100093
block_X_only,18,3,0.8285494384665184,0.6247879420141688,0.6681232835438742
block_X_only,18,4,0.8262080931845656,0.6390654654464788,0.6464226756184763
block_X_only,18,5,0.870103396529837,0.6780280469401124,0.6238764659377134
block_X_only,19,1,0.9223606137445602,0.7062850090945417,0.5800915350106044
block_X_only,19,2,0.9274511211091498,0.6782594316089735,0.5834802950020008
block_X_only,19,3,0.832017974234721,0.6296474766720952,0.6653388130617754
block_X_only,19,4,0.8190187598166899,0.635031671891865,0.6525492812669789
block_X_only,19,5,0.867918543338518,0.6778957776790192,0.6257630071412807
block_X_only,20,1,0.9253759791985985,0.7104840428502528,0.577341532152488
block_X_only,20,2,0.9166107010564547,0.678505062284729,0.5931602887907599
block_X_only,20,3,0.8360624410277915,0.63135984518656,0.6620773070200685
block_X_only,20,4,0.8107529364885693,0.6289982321256822,0.6595270794647542
block_X_only,20,5,0.8718586345899598,0.6788673713946918,0.6223574459368283
block_X_only,21,1,0.9298846509735418,0.7124052313018925,0.5732128953496408
block_X_only,21,2,0.9184154477788647,0.6813979140031247,0.5915566298492958
block_X_only,21,3,0.8360736678571786,0.63259302294013,0.6620682315594187
block_X_only,21,4,0.8081566341973204,0.6332389725369657,0.6617042044532842
