score_coordinate,n_compounds,pearson_corr_score_residual,spearman_corr_score_residual,pearson_corr_score_abs_residual,spearman_corr_score_abs_residual
T1,1974,-0.005770372024196796,0.032319997671898616,0.0735725063088945,0.023825798750043637
T2,1974,-0.05607569872713563,-0.0031836176991690843,0.15569883367168288,0.1014644149452804
T3,1974,-0.06392613558593903,-0.007367657391292138,0.06113789594852841,-0.02599717078937783
T4,1974,-0.0014247797238690684,0.015349868067407917,-0.0751175114527854,-0.0625541041489781
T5,1974,-0.012655965840864609,-0.01643414536196762,0.05061445512881624,-0.0056926402729538
