model_name,feature_set_name,pIC50_bin,n_compounds,mean_observed_pIC50,mean_predicted_pIC50,mean_residual,mean_abs_residual,median_abs_residual
random_forest_on_PLS_scores,PLS_scores_foldwise,"(7.921, 10.337]",391,8.679420407908225,7.962469430875823,0.7169509770324023,0.7713252360338231,0.6534298185454954
random_forest_primary_descriptors,primary_full_constant_removed,"(2.455, 5.16]",395,4.675305600800606,5.204987329207072,-0.5296817284064664,0.5740335781908221,0.4048650324948131
random_forest_primary_descriptors,primary_full_constant_removed,"(5.16, 6.126]",395,5.640436975993261,6.023694246512581,-0.3832572705193202,0.5020980611564902,0.3993862002209978
random_forest_primary_descriptors,primary_full_constant_removed,"(6.126, 6.963]",396,6.570006174732297,6.6301810763691185,-0.06017490163682244,0.41996854340611983,0.34481499490876555
random_forest_primary_descriptors,primary_full_constant_removed,"(6.963, 7.921]",397,7.382596598052564,7.088423396633975,0.29417320141858905,0.4869676435449768,0.424025843459102
random_forest_primary_descriptors,primary_full_constant_removed,"(7.921, 10.337]",391,8.679420407908225,8.06650514815085,0.6129152597573753,0.6720928163424268,0.5185346516217741
rbf_svr_on_PLS_scores,PLS_scores_foldwise,"(2.455, 5.16]",395,4.675305600800606,5.127552748466067,-0.452247147665461,0.6445570974788034,0.4773992478280604
rbf_svr_on_PLS_scores,PLS_scores_foldwise,"(5.16, 6.126]",395,5.640436975993261,5.970019704184297,-0.3295827281910371,0.5539257891174486,0.4413431119783615
rbf_svr_on_PLS_scores,PLS_scores_foldwise,"(6.126, 6.963]",396,6.570006174732297,6.642568348739402,-0.07256217400710462,0.5141616191671865,0.40378762452753314
rbf_svr_on_PLS_scores,PLS_scores_foldwise,"(6.963, 7.921]",397,7.382596598052564,7.145381524905999,0.23721507314656506,0.5142533475787762,0.3906384897867641
rbf_svr_on_PLS_scores,PLS_scores_foldwise,"(7.921, 10.337]",391,8.679420407908225,8.252477459001652,0.4269429489065733,0.5681847621135273,0.36640144337978775
ridge_on_PCA_scores,PCA_scores_foldwise,"(2.455, 5.16]",395,4.675305600800606,5.392033916616144,-0.7167283158155392,0.8855037553940582,0.7103263179836166
ridge_on_PCA_scores,PCA_scores_foldwise,"(5.16, 6.126]",395,5.640436975993261,6.248535703898633,-0.608098727905373,0.7308433060895448,0.5684859485820208
ridge_on_PCA_scores,PCA_scores_foldwise,"(6.126, 6.963]",396,6.570006174732297,6.699121932330441,-0.12911575759814428,0.5576571891030815,0.5016597104444744
ridge_on_PCA_scores,PCA_scores_foldwise,"(6.963, 7.921]",397,7.382596598052564,7.035202180312786,0.34739441773977814,0.620661342104153,0.5231092850135113
ridge_on_PCA_scores,PCA_scores_foldwise,"(7.921, 10.337]",391,8.679420407908225,7.589739936312229,1.0896804715959956,1.1039799680925986,0.9963292179251848
ridge_on_PLS_scores,PLS_scores_foldwise,"(2.455, 5.16]",395,4.675305600800606,5.099632768405711,-0.42432716760510525,0.7498135890559926,0.5631235787820614
ridge_on_PLS_scores,PLS_scores_foldwise,"(5.16, 6.126]",395,5.640436975993261,6.0785112625458275,-0.4380742865525665,0.6429887216544891,0.48368137877102146
ridge_on_PLS_scores,PLS_scores_foldwise,"(6.126, 6.963]",396,6.570006174732297,6.671828042522192,-0.10182186778989563,0.5157660247560154,0.38555551058350757
ridge_on_PLS_scores,PLS_scores_foldwise,"(6.963, 7.921]",397,7.382596598052564,7.042385013211569,0.3402115848409962,0.5625229172161857,0.48219732493045164
ridge_on_PLS_scores,PLS_scores_foldwise,"(7.921, 10.337]",391,8.679420407908225,8.039764967055579,0.6396554408526466,0.7351200434120788,0.5707995724050807
spline_ridge_on_PCA_scores,PCA_scores_foldwise_top8_spline,"(2.455, 5.16]",395,4.675305600800606,5.573852384873084,-0.8985467840724782,0.9844692712327717,0.8120776166449506
spline_ridge_on_PCA_scores,PCA_scores_foldwise_top8_spline,"(5.16, 6.126]",395,5.640436975993261,6.334319250574182,-0.6938822745809206,0.7512471174707048,0.676992514157809
spline_ridge_on_PCA_scores,PCA_scores_foldwise_top8_spline,"(6.126, 6.963]",396,6.570006174732297,6.668442016776865,-0.09843584204456848,0.49711886357327756,0.43121404774966177
spline_ridge_on_PCA_scores,PCA_scores_foldwise_top8_spline,"(6.963, 7.921]",397,7.382596598052564,6.9533178548115515,0.42927874324101367,0.6110984824408361,0.5073342816707846
spline_ridge_on_PCA_scores,PCA_scores_foldwise_top8_spline,"(7.921, 10.337]",391,8.679420407908225,7.392131596441897,1.2872888114663277,1.2875128293101108,1.231775721030825
tuned_spline_ridge_on_PLS_scores,PLS_scores_foldwise_top8_spline_tuned,"(2.455, 5.16]",395,4.675305600800606,5.145280060131619,-0.46997445933101356,0.7207393265601968,0.5379723847358875
tuned_spline_ridge_on_PLS_scores,PLS_scores_foldwise_top8_spline_tuned,"(5.16, 6.126]",395,5.640436975993261,6.148779512484686,-0.5083425364914255,0.6758495129769952,0.5475489902667796
tuned_spline_ridge_on_PLS_scores,PLS_scores_foldwise_top8_spline_tuned,"(6.126, 6.963]",396,6.570006174732297,6.648146812106994,-0.0781406373746969,0.5287967451965171,0.4267954930970168
tuned_spline_ridge_on_PLS_scores,PLS_scores_foldwise_top8_spline_tuned,"(6.963, 7.921]",397,7.382596598052564,7.05116127689776,0.331435321154805,0.5974700687406009,0.48853754354528256
tuned_spline_ridge_on_PLS_scores,PLS_scores_foldwise_top8_spline_tuned,"(7.921, 10.337]",391,8.679420407908225,7.944345969357213,0.7350744385510106,0.7915597602269236,0.6851528285753314
