block_label,component,explained_variance_ratio,cumulative_explained_variance_ratio
block_X_local_electronic_atom_environment,1,0.13960066643584235,0.13960066643584235
block_X_local_electronic_atom_environment,2,0.09918569079699788,0.23878635723284022
block_X_local_electronic_atom_environment,3,0.07332801077124557,0.31211436800408576
block_X_local_electronic_atom_environment,4,0.05527783687423137,0.36739220487831714
block_X_local_electronic_atom_environment,5,0.046891865198089015,0.41428407007640616
block_X_local_electronic_atom_environment,6,0.03533580869734733,0.4496198787737535
block_X_local_electronic_atom_environment,7,0.030805610715028933,0.4804254894887824
block_X_local_electronic_atom_environment,8,0.029442065247069712,0.5098675547358521
block_X_local_electronic_atom_environment,9,0.02534642964927244,0.5352139843851246
block_X_local_electronic_atom_environment,10,0.02481145637077605,0.5600254407559007
block_X_local_electronic_atom_environment,11,0.023475850414736772,0.5835012911706374
block_X_local_electronic_atom_environment,12,0.020792548245629622,0.604293839416267
block_X_local_electronic_atom_environment,13,0.019493748736079394,0.6237875881523464
block_X_local_electronic_atom_environment,14,0.018898805444610072,0.6426863935969565
block_X_local_electronic_atom_environment,15,0.016714999427461744,0.6594013930244182
block_X_local_electronic_atom_environment,16,0.015377415527091143,0.6747788085515094
block_X_local_electronic_atom_environment,17,0.014639171974384187,0.6894179805258935
block_X_local_electronic_atom_environment,18,0.014350548977228587,0.7037685295031221
block_X_local_electronic_atom_environment,19,0.01412368290023457,0.7178922124033567
block_X_local_electronic_atom_environment,20,0.012902794923069836,0.7307950073264264
block_X_local_electronic_atom_environment,21,0.012387976778513232,0.7431829841049397
block_X_local_electronic_atom_environment,22,0.01191838124962,0.7551013653545596
block_X_local_electronic_atom_environment,23,0.01157086350703281,0.7666722288615925
block_X_local_electronic_atom_environment,24,0.011150998708007186,0.7778232275695997
block_X_local_electronic_atom_environment,25,0.010506408999711163,0.7883296365693108
block_X_local_electronic_atom_environment,26,0.010277526375556147,0.7986071629448669
block_X_local_electronic_atom_environment,27,0.010249949521712848,0.8088571124665798
block_X_local_electronic_atom_environment,28,0.009718200741276753,0.8185753132078565
block_X_local_electronic_atom_environment,29,0.009117715550217113,0.8276930287580736
block_X_local_electronic_atom_environment,30,0.00907381101384962,0.8367668397719232
block_X_local_electronic_atom_environment,31,0.008657749831368968,0.8454245896032923
block_X_local_electronic_atom_environment,32,0.007973676992688342,0.8533982665959806
block_X_local_electronic_atom_environment,33,0.007817057459569414,0.86121532405555
block_X_local_electronic_atom_environment,34,0.007221138985238059,0.868436463040788
block_X_local_electronic_atom_environment,35,0.007072897646338866,0.8755093606871269
block_X_local_electronic_atom_environment,36,0.006548188641890115,0.882057549329017
block_X_local_electronic_atom_environment,37,0.006244931935654365,0.8883024812646714
block_X_local_electronic_atom_environment,38,0.005744069507072412,0.8940465507717438
block_X_local_electronic_atom_environment,39,0.005250745881135989,0.8992972966528797
block_X_local_electronic_atom_environment,40,0.004885728147101622,0.9041830247999814
block_X_local_electronic_atom_environment,41,0.004748459382138837,0.9089314841821202
block_X_local_electronic_atom_environment,42,0.004541055885809749,0.91347254006793
block_X_local_electronic_atom_environment,43,0.004228785519305226,0.9177013255872353
block_X_local_electronic_atom_environment,44,0.004016142673315425,0.9217174682605507
block_X_local_electronic_atom_environment,45,0.003668615646385313,0.925386083906936
block_X_local_electronic_atom_environment,46,0.00335660148565243,0.9287426853925884
block_X_local_electronic_atom_environment,47,0.0032715041270698427,0.9320141895196583
block_X_local_electronic_atom_environment,48,0.0030536587815837724,0.9350678483012421
block_X_local_electronic_atom_environment,49,0.0028682287450574506,0.9379360770462996
block_X_local_electronic_atom_environment,50,0.0027401900441573414,0.9406762670904569
block_Y_topological_connectivity_structure,1,0.28903294846282296,0.28903294846282296
block_Y_topological_connectivity_structure,2,0.11913037540878356,0.40816332387160653
block_Y_topological_connectivity_structure,3,0.07592161893783353,0.48408494280944003
block_Y_topological_connectivity_structure,4,0.06119379933362786,0.5452787421430679
block_Y_topological_connectivity_structure,5,0.04044011913800724,0.5857188612810752
block_Y_topological_connectivity_structure,6,0.03621663787342373,0.621935499154499
block_Y_topological_connectivity_structure,7,0.03399686928466789,0.6559323684391669
block_Y_topological_connectivity_structure,8,0.027190302258110765,0.6831226706972777
block_Y_topological_connectivity_structure,9,0.02393240168971714,0.7070550723869948
block_Y_topological_connectivity_structure,10,0.02300510181724016,0.730060174204235
block_Y_topological_connectivity_structure,11,0.021776380952411828,0.7518365551566468
block_Y_topological_connectivity_structure,12,0.019890584447701764,0.7717271396043486
block_Y_topological_connectivity_structure,13,0.01704930951907555,0.7887764491234242
block_Y_topological_connectivity_structure,14,0.01597565553277481,0.804752104656199
block_Y_topological_connectivity_structure,15,0.012551996351758764,0.8173041010079577
