model_name,calibration_intercept_observed_on_predicted,calibration_slope_observed_on_predicted,mean_residual,median_residual,rmse_cv_global,mae_cv_global,q2_cv_global
hist_gradient_boosting_block_X_plus_Y,0.04812188497910525,0.9911496893123841,-0.010258038844497884,-0.005885369461709811,0.6929753560233225,0.49908370612117003,0.7627361132061697
hist_gradient_boosting_on_PCA_scores,0.09318604807322499,0.9846342544477832,-0.0081395424882819,0.0026104836246356733,0.7756001759094644,0.5817755890422981,0.7027842238856192
hist_gradient_boosting_on_PLS_scores,0.2016760352379668,0.9685916201794893,-0.005351141143657389,-0.0018185430666735058,0.7521457589560315,0.5547349805860107,0.7204882417155256
hist_gradient_boosting_primary_descriptors,0.020571222977195613,0.994822199617767,-0.013600772084785637,-0.004824362749105582,0.6886484634834821,0.4963819407053687,0.7656897832710984
kernel_ridge_rbf_on_PLS_scores,2.3435871890343276,0.6715418460168632,0.2685238703146395,0.15969633600783872,1.1455709201620838,0.7883274529001858,0.3516044560443118
linear_PLS_from_03,0.5429481658151328,0.9178599972458185,0.0021407534902470327,0.022083573135353203,0.8555413056106478,0.6410783646229719,0.6383586977759292
quadratic_ridge_on_PLS_scores,1.0913328827843933,0.8332890622151531,-0.007973243956838997,-0.010198314748459225,0.9747540914662675,0.6575692579378987,0.5305534046828564
random_forest_block_X_plus_Y,-0.6680227204699672,1.099394990001942,-0.012185055450141055,-0.012650461849080585,0.7071179519352887,0.5297293152161857,0.7529528852590254
random_forest_on_PCA_scores,-1.0728820273109918,1.1618362291206341,-0.006033986859730251,-0.01897818752335656,0.793930875473159,0.611698458268625,0.6885692845140219
random_forest_on_PLS_scores,-0.9371697581600325,1.141810092206274,-0.002796099878041327,-0.025560532165078254,0.7613454559922628,0.5847241783207111,0.7136088586980888
random_forest_primary_descriptors,-0.6708662987926779,1.099492491894688,-0.01418618951142543,-0.021689539235751898,0.7080848014225637,0.5306453831855402,0.7522768433862027
rbf_svr_on_PLS_scores,0.3201127207843635,0.9458341069385588,-0.03872763161523488,-0.00927700640032647,0.7611284468983274,0.5589298694887987,0.7137720976699597
ridge_on_PCA_scores,0.05770657346601432,0.9904415927993868,-0.005296795360637918,-0.02109477855866393,0.9928749622757044,0.7787984075533932,0.5129369564932975
ridge_on_PLS_scores,0.5046836678760921,0.9236698721518244,0.002127275845076643,0.022603466105927783,0.8546476536668779,0.6409087100521635,0.6391138048915587
spline_ridge_on_PCA_scores,-0.9174181047849911,1.1398011458876105,0.002919713643503003,-0.048802006097627526,1.0354008043137586,0.8249699378430377,0.47032063269124613
tuned_spline_ridge_on_PLS_scores,0.20371064399732222,0.9691900615213019,0.0008181470221172175,0.014526430313524408,0.8567267873145246,0.6624881389330078,0.6373557861177629
