component,descriptor_category,sum_squared_weight,n_descriptors,component_total_squared_weight,prop_component_squared_weight,mean_squared_weight
PC1,Van der Waals volume,0.009741762930821778,1,0.9999999999999998,0.00974176293082178,0.009741762930821778
PC1,McGowan volume,0.009611747474372937,1,0.9999999999999998,0.009611747474372939,0.009611747474372937
PC1,Weight,0.009545910532898738,1,0.9999999999999998,0.00954591053289874,0.009545910532898738
PC1,APol,0.009340387751622898,1,0.9999999999999998,0.0093403877516229,0.009340387751622898
PC1,Zagreb index,0.009225640772248436,1,0.9999999999999998,0.009225640772248437,0.009225640772248436
PC1,Eccentric connectivity index,0.008989982229519775,1,0.9999999999999998,0.008989982229519777,0.008989982229519775
PC1,BPol,0.00873130989716035,1,0.9999999999999998,0.008731309897160353,0.00873130989716035
PC1,Kappa shape indices,0.026032514316396423,3,0.9999999999999998,0.02603251431639643,0.00867750477213214
PC1,Fragment complexity,0.008424273407778309,1,0.9999999999999998,0.00842427340777831,0.008424273407778309
PC1,Autocorrelation (polarizability),0.040283868413734186,5,0.9999999999999998,0.04028386841373419,0.008056773682746838
PC1,Vertex adjacency information (magnitude),0.007886054440239739,1,0.9999999999999998,0.00788605444023974,0.007886054440239739
PC1,Chi path,0.11950383895894023,16,0.9999999999999998,0.11950383895894026,0.007468989934933765
PC1,Wiener numbers,0.014403700420245791,2,0.9999999999999998,0.014403700420245795,0.007201850210122896
PC1,Rotatable bonds count,0.007097536231544931,1,0.9999999999999998,0.007097536231544932,0.007097536231544931
PC1,Autocorrelation (mass),0.034098420836894,5,0.9999999999999998,0.03409842083689401,0.0068196841673788
PC1,Molecular linear free energy relation,0.034338073450892834,6,0.9999999999999998,0.03433807345089284,0.005723012241815473
PC1,Bond count,0.050201277092587315,9,0.9999999999999998,0.05020127709258733,0.005577919676954146
PC1,Largest chain,0.005424694185601717,1,0.9999999999999998,0.005424694185601718,0.005424694185601717
PC1,Hbond acceptor count,0.02047817767600054,4,0.9999999999999998,0.020478177676000544,0.005119544419000135
PC1,Basic group count,0.004922821411279281,1,0.9999999999999998,0.004922821411279282,0.004922821411279281
PC1,Crippen logP and MR,0.009542771753972387,2,0.9999999999999998,0.009542771753972388,0.004771385876986193
PC1,Topological polar surface area,0.004460406827446739,1,0.9999999999999998,0.00446040682744674,0.004460406827446739
PC1,ALOGP,0.013145296519439888,3,0.9999999999999998,0.013145296519439891,0.004381765506479962
PC1,Mannhold LogP,0.0041429766447057415,1,0.9999999999999998,0.004142976644705742,0.0041429766447057415
PC1,Weighted path,0.020381749427195808,5,0.9999999999999998,0.02038174942719581,0.004076349885439161
PC1,Hbond donor count,0.007756276205769969,2,0.9999999999999998,0.007756276205769971,0.0038781381028849845
PC1,Chi path cluster,0.022126120264435452,6,0.9999999999999998,0.022126120264435455,0.003687686710739242
PC1,Atom count,0.04149453255542973,13,0.9999999999999998,0.04149453255542974,0.003191887119648441
PC1,Autocorrelation (charge),0.014035217815194534,5,0.9999999999999998,0.014035217815194538,0.0028070435630389067
PC1,Extended topochemical atom,0.11167076806125283,43,0.9999999999999998,0.11167076806125285,0.002596994606075647
PC1,Rule of five,0.002176666209413504,1,0.9999999999999998,0.0021766662094135046,0.002176666209413504
PC1,HybridizationRatioDescriptor,0.0018708503992924195,1,0.9999999999999998,0.00187085039929242,0.0018708503992924195
PC1,Chi cluster,0.014694363431242637,8,0.9999999999999998,0.01469436343124264,0.0018367954289053297
PC1,Longest aliphatic chain,0.0015831444354420837,1,0.9999999999999998,0.0015831444354420842,0.0015831444354420837
PC1,Carbon types,0.011393579728861352,9,0.9999999999999998,0.011393579728861354,0.0012659533032068169
PC1,Atom type electrotopological state,0.24844957102397588,270,0.9999999999999998,0.24844957102397594,0.0009201835963850959
PC1,FMFDescriptor,0.0008567662610781389,1,0.9999999999999998,0.0008567662610781392,0.0008567662610781389
PC1,Molecular distance edge,0.013800078867115557,19,0.9999999999999998,0.01380007886711556,0.000726319940374503
PC1,XLogP,0.0004976012890543862,1,0.9999999999999998,0.0004976012890543863,0.0004976012890543862
PC1,BCUT,0.0025849824401564555,6,0.9999999999999998,0.002584982440156456,0.0004308304066927426
PC1,Ring count,0.007306497573214558,18,0.9999999999999998,0.0073064975732145595,0.0004059165318452532
PC1,Chi chain,0.0038075715954022714,10,0.9999999999999998,0.0038075715954022722,0.0003807571595402271
PC1,Petitjean number,0.00033929856612685284,1,0.9999999999999998,0.0003392985661268529,0.00033929856612685284
PC1,Aromatic atoms count,0.000331387679732998,1,0.9999999999999998,0.00033138767973299807,0.000331387679732998
PC1,RingCountDescriptor,0.002913934705943968,11,0.9999999999999998,0.0029139347059439686,0.00026490315508581526
PC1,Aromatic bonds count,0.00015635444722064763,1,0.9999999999999998,0.00015635444722064765,0.00015635444722064763
PC1,Largest Pi system,0.00010493842207523443,1,0.9999999999999998,0.00010493842207523445,0.00010493842207523443
PC1,Acidic group count,9.430441902749564e-05,1,0.9999999999999998,9.430441902749567e-05,9.430441902749564e-05
PC10,Autocorrelation (mass),0.04566154726108221,5,1.0000000000000002,0.0456615472610822,0.009132309452216441
PC10,BCUT,0.05204965489125663,6,1.0000000000000002,0.05204965489125662,0.008674942481876105
PC10,Atom count,0.06291384169418772,13,1.0000000000000002,0.0629138416941877,0.004839526284168286
PC10,RingCountDescriptor,0.03781168364231272,11,1.0000000000000002,0.037811683642312716,0.003437425785664793
PC10,Extended topochemical atom,0.14434607205362435,43,1.0000000000000002,0.14434607205362432,0.003356885396595915
